query,norm_attributes_json
Fanuc AC Servo Motor 0.35kW 6000 A06B-0115-B103 and Pulsecoder,"{""Fanuc AC Servo Motor"": ""Fanuc AC Servo Motor"", ""power_consumption"": ""0.35kW"", ""code"": ""A06B-0115-B103 and Pulsecoder"", ""quantity"": ""6000 A06B-0115-B103""}"
PowerSpeed Armature For 9005 N Makita,"{""Brand"": ""Makita"", ""PowerSpeed"": ""Armature For 9005 N"", ""Key-Value Attributes"": ""PowerSpeed""}"
Crompton Motor 10 HP 960 Rpm,"{""Motor"": ""Crompton Motor"", ""Speed"": ""960 Rpm"", ""Power"": ""10 HP""}"
Blower Motors,"{""power_source"": ""Blowers"", ""motors"": ""Motors""}"
three phase 2800 rpm 2 0.25 hp single phase vibro motors,"{""phase"": ""three phase"", ""speed"": ""2800 rpm"", ""power"": ""0.25 hp"", ""motors"": ""vibro motors"", ""quantity"": ""2""}"
AC Induction Motor,"{""motor_type"": ""AC Induction Motor""}"
Siemens 1440RPM Three Phase Flange Motor,"{""motor_type"": ""Flange Motor"", ""phase"": ""Three Phase"", ""speed_rpm"": ""1440RPM"", ""brand"": ""Siemens""}"
Havells Induction Motors,"{""motor_type"": ""Induction Motors"", ""brand"": ""Havells""}"
cast iron general,"{""material"": ""cast iron"", ""query"": ""general""}"
AC Motor,"{""motor_type"": ""AC Motor""}"
20 hp motor,"{""power"": ""20 hp motor""}"
rs 555 high speed dc motor 5000rpm,"{""speed"": ""5000rpm"", ""motor"": ""dc motor"", ""model_number"": ""rs 555"", ""feature"": ""high speed""}"
dc ware,"{""product_type"": ""dc ware""}"
ABB 50 HP Three Phase Electric Motors,"{""power"": ""50 HP"", ""brand"": ""ABB"", ""operation"": ""Three Phase Electric Motors""}"
electric-actuator,"{""actuator"": ""electric-actuator""}"
dc 12v gear motor,"{""power_source"": ""dc 12v"", ""drive_type"": ""gear motor""}"
CG make  electric motor,"{""make"": ""CG make"", ""power source"": ""electric motor""}"
1le7501‑1bb23‑5aa4,"{""query"": ""1le7501‑1bb23‑5aa4""}"
brush for electronics,{}
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0 1 kW,"{""motor_type"": ""SERVO MOTOR"", ""brand"": ""SIEMENS SIMOTICS S-1FK2"", ""power"": ""1 kW"", ""model_number"": ""1FK2104-6AF11-0MB0"", ""series"": ""SERVO""}"
power-tool-carbon-brush,"{""tool-type"": ""power-tool-carbon-brush""}"
thrive architect latest version,{}
Kirloskar make electric motor,"{""make"": ""Kirloskar make"", ""power source"": ""electric motor""}"
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RB1,"{""motor_type"": ""synchronous motor"", ""model_number"": ""1FK7 1FK7081-3BF71-1RB1"", ""brand"": ""SIMOTICS""}"
Hindustan Geared Motors,"{""motor_type"": ""Geared Motors"", ""origin"": ""Hindustan""}"
vibro shift motor,"{""motor"": ""vibro shift motor""}"
Steper Motor,"{""motor"": ""Steper Motor""}"
bonfiglioli riduttori motor be71-b4 230/400-50 ip55 clf b5,"{""motor"": ""motor"", ""model_number"": ""be71-b4"", ""brand"": ""bonfiglioli riduttori"", ""ip_rating"": ""ip55"", ""clf"": ""b5"", ""voltage"": ""230/400-50""}"
Stater,"{""Stater"": ""Stater""}"
Motor 160kw,"{""power"": ""160kw"", ""component"": ""Motor""}"
Bharat Bijlee Electric Motor,"{""motor"": ""Bijlee Electric Motor"", ""origin"": ""Bharat""}"
75 HP Crompton Industrial Motors,"{""brand"": ""Crompton"", ""power"": ""75 HP"", ""type"": ""Industrial Motors""}"
Double Motor Vacuum Cleaner,"{""key_attributes"": ""Double Motor Vacuum Cleaner""}"
synchronous-motor,"{""motor_type"": ""synchronous-motor""}"
C Beam Linear Actuator,"{""actuator"": ""Linear"", ""design"": ""C Beam""}"
Siemens Make Electric Motor,"{""make"": ""Siemens"", ""power source"": ""Electric Motor""}"
Abb Make Electric Motor,"{""make"": ""Abb"", ""power source"": ""Electric Motor""}"
5r/min 1.5w 50/60hz motor,"{""speed"": ""5r/min"", ""power"": ""1.5w"", ""frequency"": ""50/60hz"", ""component"": ""motor""}"
Direct Drive Motor For Juki,"{""motor_type"": ""Direct Drive Motor"", ""intended_use"": ""For Juki""}"
5hp flour mill motor,{}
Alternator Carbon Brush,"{""attribute"": ""Carbon Brush"", ""alternator"": ""Alternator""}"
5hp motor,"{""power"": ""5hp motor""}"
Vane Type Hydraulic Motor,"{""motor_type"": ""Hydraulic Motor"", ""design_type"": ""Vane Type""}"
Crompton Industrial Motors 75 hp,"{""brand"": ""Crompton"", ""power"": ""75 hp"", ""type"": ""Industrial Motors""}"
11KW Kirloskar Electric Motor,"{""power"": ""11KW"", ""brand"": ""Kirloskar"", ""motor"": ""Electric Motor""}"
3 phase 2 piece l&t Motor Starter,"{""power"": ""3 phase"", ""quantity"": ""2 piece"", ""brand"": ""l&t"", ""feature"": ""Motor Starter""}"
DOL STRTERS,"{""key-value attributes"": ""DOL STRTERS""}"
ng80,"{""query_id"": ""ng80""}"
general electric sfk01,"{""type"": ""general electric"", ""code"": ""sfk01""}"
Heavy Duty Rotary Air Motor,"{""motor"": ""Air Motor"", ""design"": ""Heavy Duty Rotary""}"
ac motor indoor,"{""motor"": ""ac motor"", ""setting"": ""indoor""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-0SA0 2.7 kW,"{""power_consumption"": ""2.7 kW"", ""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-0SA0""}"
dc-motor-spare,"{""attribute"": ""dc-motor-spare""}"
Motor Parts,"{""parts"": ""Motor Parts""}"
वाइब्रो शिफ्ट मोटर,"{""attribute"": ""वाइब्रो शिफ्ट मोटर""}"
Marathon Electric Motor,"{""motor"": ""Electric Motor"", ""brand"": ""Marathon""}"
Shakti Dol Starter,"{""attribute"": ""Dol Starter"", ""power_source"": ""Shakti""}"
2 HP single phase,"{""power"": ""single phase"", ""hp"": ""2 HP""}"
6ik180gu 240 w motor,"{""power"": ""240 w motor"", ""model_number"": ""6ik180gu""}"
Telemetry Encoder Unit,"{""unit"": ""Telemetry Encoder Unit""}"
dc-geared-motor,"{""power_source"": ""dc-geared-motor""}"
Motorized Actuators,"{""actuators"": ""Motorized"", ""key_attributes"": ""Actuators""}"
Dc Brake For Electric Motor,"{""function"": ""For Electric Motor"", ""part"": ""Dc Brake""}"
desert type aluminum 32 mm 1 inch kit cooler motor,"{""type"": ""desert type"", ""material"": ""aluminum"", ""kit"": ""kit"", ""size"": ""32 mm 1 inch""}"
1.5 kw crompton single phase motor,"{""power"": ""1.5 kw"", ""motor"": ""single phase motor"", ""brand"": ""crompton""}"
ac motor 20w,"{""power"": ""20w"", ""motor type"": ""ac motor""}"
Dc fan motor,"{""power_source"": ""Dc fan motor""}"
ac motor 10w,"{""power"": ""10w"", ""motor type"": ""ac motor""}"
10hp motor,"{""power"": ""10hp motor""}"
6FC5357-0BA11-1AE0,"{""product_code"": ""6FC5357-0BA11-1AE0""}"
Indigo Self Armature,"{""attribute"": ""Indigo"", ""feature"": ""Self Armature""}"
leadshine l7 series servo ac servo motor,"{""series"": ""l7 series"", ""motor_type"": ""servo ac servo motor"", ""material"": ""leadshine""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0MB0 0.57 kW,"{""motor_type"": ""SERVO MOTOR"", ""power_consumption"": ""0.57 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0MB0""}"
10m3flow rate 30 mtr headpumpwith motor,"{""flow rate"": ""10m3flow rate"", ""length"": ""30 mtr""}"
Traction Motor,"{""power_source"": ""Traction Motor""}"
Leadshine L7 Series 750W AC Servo Motor and Driver Kit,"{""Series"": ""L7 Series"", ""Motor and Driver Kit"": ""750W AC Servo Motor and Driver Kit"", ""Material"": ""Leadshine""}"
Dol Motor Starters Paragon,"{""Brand"": ""Paragon"", ""Motor"": ""Dol Motor"", ""Starters"": ""Starters""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0,"{""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0"", ""attribute"": ""SIEMENS""}"
3 phase motor start,"{""power_source"": ""3 phase motor start""}"
oil-filled 3 hp 25 single phase motor starter,"{""power"": ""3 hp"", ""motor"": ""single phase motor starter"", ""contents"": ""oil-filled"", ""quantity"": ""25""}"
SMC Electric Actuator,"{""actuator"": ""Electric Actuator"", ""model_number"": ""SMC""}"
1FK2104-6AF11-0MB0,"{""attribute"": ""1FK2104-6AF11-0MB0""}"
digital dol starter,"{""type"": ""digital""}"
Slider Type Electric Actuator,"{""Actuator Type"": ""Electric Actuator"", ""Type"": ""Slider Type""}"
seedprod latest version,"{""product_line"": ""seedprod"", ""version"": ""latest version""}"
Siemens 75 HP Foot Mounted Electric Motors,"{""power_source"": ""Electric Motors"", ""mounting"": ""Foot Mounted"", ""brand"": ""Siemens"", ""horsepower"": ""75 HP""}"
Grow art 3 phase hybrid,"{""power_source"": ""3 phase hybrid"", ""brand"": ""Grow art""}"
gbru 1 min auto switch,"{""attribute"": ""auto switch"", ""gbru"": ""1 min""}"
SIEMENS SIMOTICS S-1FK2 SERVO  MOTOR 1FK2106-4AF00-0MA0 2.7 kW,"{""power_consumption"": ""2.7 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-0MA0""}"
armature,"{""component"": ""armature""}"
ecma-ca1010ss delta servo motor,"{""model_number"": ""ecma-ca1010ss"", ""motor_type"": ""delta servo motor""}"
table fan motor,"{""type"": ""table fan motor""}"
20W ALUMINUM HOUSING,"{""power"": ""20W"", ""housing"": ""ALUMINUM"", ""type"": ""HOUSING""}"
motor panvel,"{""brand"": ""panvel"", ""power_source"": ""motor""}"
40 HP  Siemens Electric Motors,"{""power"": ""40 HP"", ""motors"": ""Siemens Electric Motors""}"
hindustan package,"{""brand"": ""hindustan"", ""package"": ""package""}"
Electric Sliding Gate Motor,"{""type"": ""Sliding Gate Motor"", ""power source"": ""Electric""}"
800 RPM Electric Sliding Gate Motor,"{""motor_type"": ""Electric Sliding Gate Motor"", ""speed"": ""800 RPM""}"
HF-SP152 servo motor mitsubishi,"{""model_number"": ""HF-SP152"", ""motor"": ""servo motor"", ""brand"": ""mitsubishi""}"
1000 RPM Electric Sliding Gate Motor,"{""motor_type"": ""Electric Sliding Gate Motor"", ""speed"": ""1000 RPM""}"
Gear and Vane Motors,"{""power_source"": ""Gear and Vane Motors""}"
high power mini dc water motors project,"{""power"": ""high power"", ""project"": ""mini dc water motors project""}"
high power mini dc water motors for project near badlapur,"{""power"": ""high power""}"
775 dc motor bihpuri,"{""motor"": ""dc motor"", ""brand"": ""bihpuri"", ""value"": ""775""}"
775 dc motor near agra bichpuri,"{""motor"": ""dc motor"", ""location"": ""near agra bichpuri"", ""value"": ""775""}"
24v dc coffee machine motor,"{""power_source"": ""24v dc"", ""type"": ""coffee machine"", ""component"": ""motor""}"
Crompton Geared Motor,"{""motor_type"": ""Geared Motor"", ""brand"": ""Crompton""}"
l&t three phase motor starter,"{""power_source"": ""three phase motor starter"", ""brand"": ""l&t""}"
Servo Motor & Variac Motor,"{""motor"": ""Servo Motor & Variac Motor""}"
Siemens Electric Motors 40 Hp,"{""power"": ""40 Hp"", ""brand"": ""Siemens Electric Motors""}"
3 phase motor starter without oil automatic,"{""power_source"": ""3 phase motor starter without oil"", ""operation"": ""automatic""}"
3 phase motor starter near jodhpur without oilautomatic,"{""motor"": ""3 phase motor starter near jodhpur without oil"", ""operation"": ""automatic""}"
HP400 Siemens Motor,"{""Motor"": ""Siemens Motor"", ""HP"": ""HP400""}"
Flange Motors,"{""Flange"": ""Motors""}"
Sew Eurodrive CMP50M AC Synchronous Motor,"{""motor_type"": ""AC Synchronous Motor"", ""drive"": ""Sew Eurodrive"", ""model_number"": ""CMP50M""}"
2 hp flange motor,"{""motor_type"": ""flange motor"", ""power"": ""2 hp""}"
3 phase motor starter oil free automatic,"{""power"": ""3 phase motor starter"", ""feature"": ""oil free"", ""operation"": ""automatic""}"
3 phase motor starter near jodhpur oil freee automatic,"{""power_source"": ""3 phase motor starter near jodhpur"", ""oil freee"": ""automatic""}"
ABB MOTOR 200KW 270HP 1500RPM FOOT IE2,"{""motor"": ""ABB MOTOR"", ""power"": ""200KW 270HP"", ""speed"": ""1500RPM"", ""foot"": ""IE2"", ""attribute"": ""FOOT""}"
bonfiglioli brake motor,"{""attribute"": ""brake motor"", ""brand"": ""bonfiglioli""}"
1 piece ABB Soft Starters,"{""quantity"": ""1 piece"", ""brand"": ""ABB Soft Starters""}"
kenstar desert air cooler motor,"{""product_type"": ""desert air cooler"", ""brand"": ""kenstar"", ""power_source"": ""motor""}"
Marathon 1hp motor single phase,"{""power_source"": ""single phase"", ""motor_hp"": ""1hp motor"", ""brand"": ""Marathon""}"
Make - Marathon 1hp motor single phase,"{""power"": ""1hp motor"", ""phase"": ""single phase"", ""make"": ""Make - Marathon""}"
Vibro Sifter Motor,"{""feature"": ""Vibro Sifter"", ""power_source"": ""Motor""}"
kirloskar electric motor 10 hp 960 rpm,"{""motor"": ""electric motor"", ""rpm"": ""960 rpm"", ""brand"": ""kirloskar"", ""power"": ""10 hp""}"
desert cooler motor,"{""type"": ""desert cooler"", ""power"": ""motor""}"
Exhaust Fan Motor,"{""feature"": ""Exhaust Fan"", ""power_source"": ""Motor""}"
nord gearbox spares,"{""brand"": ""nord"", ""type"": ""gearbox spares""}"
MGM Varvel Brake Motor,"{""brand"": ""MGM Varvel Brake Motor""}"
AC Electric Motor,"{""power_source"": ""AC Electric Motor""}"
Motor Starter .,"{""starter type"": ""Motor Starter .""}"
c&s dol starter 15hp,"{""power_source"": ""dol starter"", ""hp"": ""15hp"", ""attributes"": ""c&s""}"
c&s dol starter 15hp near delhi,"{""power_source"": ""dol starter"", ""hp"": ""near delhi"", ""attributes"": ""c&s"", ""value"": ""15hp""}"
10w deep freezer motor,"{""power"": ""10w"", ""type"": ""deep freezer motor""}"
bell crack assembly,"{""assembly"": ""bell crack assembly""}"
Simensh Hp400 Rpm1440,"{""Brand"": ""Simensh"", ""Hp"": ""Hp400"", ""Speed"": ""Rpm1440""}"
StarDental Starter,"{""product_name"": ""StarDental Starter""}"
Start Dental Starter,"{""starter"": ""Dental Starter"", ""action"": ""Start""}"
Explosion Proof Electric Motor,"{""feature"": ""Explosion Proof"", ""power source"": ""Electric Motor""}"
Industrial dc motor,"{""motor"": ""industrial dc motor""}"
High Torque Square Geared Motor,"{""motor_type"": ""Geared Motor"", ""shape"": ""Square"", ""feature"": ""High Torque""}"
सर्वो मोटर सप्लायर,"{""motor"": ""सर्वो मोटर"", ""supplier"": ""सप्लायर""}"
borewell 2h starter,"{""borewell"": ""2h starter""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-3AF11-1SA0 2.3 kW,"{""power_consumption"": ""2.3 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-3AF11-1SA0""}"
Crompton Induction Motors,"{""motor_type"": ""Induction Motors"", ""brand"": ""Crompton""}"
nema 17 0.9 degree,"{""attribute"": ""nema 17 0.9 degree""}"
ABB Auto- Lek Ail 94022 A Solenoid Switch,"{""attribute"": ""ABB Auto- Lek Ail 94022 A"", ""switch"": ""A Solenoid Switch""}"
Three phase,"{""phase"": ""Three phase""}"
nema 17 0.9 degree 22mm lenth,{}
New Series Allen Bradley Soft Starter,"{""Series"": ""New Series"", ""Starter"": ""Soft Starter"", ""Brand"": ""Allen Bradley""}"
1 for business use piece ABB Soft Starters,"{""attribute"": ""1 for business use piece"", ""brand"": ""ABB Soft Starters""}"
bolero ac motor,"{""motor"": ""ac motor"", ""model_name"": ""bolero""}"
150c43nbd smc3 soft starter,"{""attribute"": ""soft starter"", ""model_number"": ""smc3"", ""value"": ""150c43nbd"", ""value_2"": ""smc3""}"
lt mk1 dol motor starter,"{""motor"": ""dol motor starter"", ""model_number"": ""lt mk1""}"
Eaton Orbital Motor,"{""motor"": ""Eaton Orbital Motor""}"
automatic gate motor,"{""gate type"": ""automatic"", ""power source"": ""motor""}"
Door Motor .,"{""attribute"": ""Door Motor .""}"
23a paramoon motor starter,"{""motor starter"": ""motor"", ""query"": ""23a paramoon""}"
electrical motor for boats,"{""power_source"": ""electrical motor for boats""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-5AF00-1SB0 0.75 kW,"{""motor_type"": ""SERVO MOTOR"", ""power_consumption"": ""0.75 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-5AF00-1SB0""}"
"Absolute Shaft Encoder, Series ENA 8 / 13","{""Shaft Encoder, Series ENA 8 / 13"": ""Absolute""}"
Permanent Magnet. tech,"{""attribute"": ""Permanent Magnet. tech""}"
INVT Servo Motor,"{""motor_type"": ""Servo Motor"", ""invt"": ""INVT""}"
1.5 KW Halcyon Three Phase Induction Motor,"{""power_consumption"": ""1.5 KW"", ""motor_type"": ""Three Phase Induction Motor"", ""brand"": ""Halcyon""}"
5 sliding piece 800 kg Gate Motor,"{""weight"": ""800 kg"", ""motor"": ""Gate Motor"", ""feature"": ""sliding piece"", ""quantity"": ""5""}"
Synchronous Transformer,"{""transformer_type"": ""Synchronous Transformer""}"
FHP Motor,"{""motor"": ""FHP Motor""}"
5HP Single Phase Buffing Machine Motor,"{""power"": ""5HP"", ""machine type"": ""Buffing Machine"", ""phase"": ""Single Phase"", ""component"": ""Motor""}"
Motor Brakes,"{""features"": ""Motor Brakes""}"
1hp three phase ac vibration motor,"{""power_source"": ""three phase ac vibration motor"", ""key_attribute"": ""1hp""}"
Explosion Proof Motors,"{""feature"": ""Explosion Proof"", ""power source"": ""Motors""}"
Aei/Marathon Motor Brush Holder,"{""Motor"": ""Brush Holder"", ""Model Number"": ""Aei/Marathon Motor""}"
75 Hp Induction Motor,"{""motor_type"": ""Induction Motor"", ""horsepower"": ""75 Hp""}"
Squirrel Cage Motors,"{""motor_type"": ""Squirrel Cage Motors""}"
Pneumatic Diaphragm Actuator,"{""actuator"": ""Pneumatic Diaphragm Actuator""}"
3 phase motor starter oil free,"{""power"": ""3 phase motor starter"", ""oil free"": ""oil free""}"
3 phase motor starter near jodhpur oil free,"{""motor"": ""3 phase motor starter""}"
12 Inch 3000W Scooter Brushless DC Wheel Hub Motor Controller,"{""Motor Controller"": ""Brushless DC Wheel Hub Motor Controller"", ""Power"": ""3000W"", ""Size"": ""12 Inch"", ""Type"": ""Scooter""}"
helical geared motor 2hp,"{""motor_type"": ""helical geared motor"", ""power"": ""2hp""}"
helical geared motor 2hp near hyderabad,"{""motor_type"": ""helical geared motor"", ""power"": ""2hp"", ""location"": ""near hyderabad""}"
deep electricals vibrator motor,"{""power_source"": ""electricals"", ""feature"": ""vibrator motor"", ""type"": ""deep""}"
Single Phase Digital Motor Starter,"{""power_source"": ""Single Phase"", ""motor_starter"": ""Digital Motor Starter""}"
motor starter spark,"{""feature"": ""spark"", ""power_source"": ""motor starter""}"
Copper Carbon Brush For Slipring Motor,"{""Material"": ""Carbon Brush For Slipring Motor"", ""Metal"": ""Copper""}"
750 rpm 1 0.18 kw marathon electric motor,"{""motor"": ""electric motor"", ""speed"": ""750 rpm"", ""power"": ""0.18 kw"", ""quantity"": ""1"", ""brand"": ""marathon""}"
Moving Magnetic Linear Motor,"{""motor_type"": ""Moving Magnetic Linear Motor""}"
Abb Used Ac Motors,"{""condition"": ""Used"", ""brand"": ""Abb"", ""power source"": ""Ac Motors""}"
5 In 1 Magic Brush,"{""feature"": ""Magic Brush"", ""count"": ""5 In 1""}"
Bonfiglioli A Series Gear Motor,"{""Series"": ""A Series"", ""Brand"": ""Bonfiglioli"", ""Power Source"": ""Gear Motor""}"
Industrial Electric Motor,"{""power_source"": ""Industrial Electric Motor""}"
High Speed Motor,"{""attribute"": ""High Speed Motor""}"
"7.5 kw 10 hp havells induction motor, 1440 rpm","{""power"": ""7.5 kw"", ""motor"": ""induction motor, 1440 rpm"", ""brand"": ""havells"", ""hp"": ""10 hp""}"
Industrial%20Motors,"{""power_source"": ""Industrial%20Motors""}"
Industrial%20Electric Motor,"{""power_source"": ""Electric Motor"", ""type"": ""Industrial%"", ""value"": ""key-value attributes from this query""}"
SIMOTICS 1FK7 1FK7043-4CH7 MOTER 1.2kW,"{""brand"": ""SIMOTICS"", ""model_number"": ""1FK7 1FK7043-4CH7"", ""power"": ""1.2kW"", ""component"": ""MOTER""}"
electric motorized actuator,"{""actuator"": ""electric motorized actuator""}"
armature of stanley sc-16,"{""part"": ""armature of stanley sc-16""}"
high power dc water motors project,"{""power"": ""high power"", ""type"": ""dc"", ""project"": ""water motors project""}"
high power dc water motors for project near badlapur,"{""power"": ""high power"", ""water_supply"": ""water motors for project near badlapur"", ""voltage"": ""dc""}"
150HP 960 RPM ELECTRIC MOTOR,"{""motor_type"": ""ELECTRIC MOTOR"", ""speed"": ""960 RPM"", ""power"": ""150HP""}"
30HP 960 RPM ELECTRIC MOTOR,"{""motor_power"": ""30HP"", ""speed"": ""960 RPM"", ""power_source"": ""ELECTRIC MOTOR""}"
600 kg sliding gate motor,"{""gate type"": ""sliding gate"", ""weight"": ""600 kg"", ""power source"": ""motor""}"
75HP Face Mounted Motor Marathon,"{""power"": ""75HP"", ""motor"": ""Face Mounted Motor"", ""brand"": ""Marathon""}"
high power dc motors,"{""power"": ""high power"", ""type"": ""dc motors""}"
Switch Reluctance Motor,"{""motor_type"": ""Switch Reluctance Motor""}"
Tower Fan Motor,"{""fan_type"": ""Tower Fan"", ""power_source"": ""Motor""}"
315 KW 1450 RPM ELECTEIC MOTOR,"{""power"": ""315 KW"", ""speed"": ""1450 RPM"", ""motor_type"": ""ELECTEIC MOTOR""}"
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1QB1,"{""motor_type"": ""synchronous motor"", ""model_number"": ""1FK7 1FK7081-3BF71-1QB1"", ""brand"": ""SIMOTICS""}"
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RH1,"{""motor_type"": ""synchronous motor"", ""model_number"": ""1FK7 1FK7081-3BF71-1RH1"", ""brand_or_series"": ""SIMOTICS""}"
three phase 1 piece 1 hp (0.75 kw) 1440 rpm 1.5 KW Sew Brake Motor,"{""power_consumption"": ""1.5 KW"", ""motor_type"": ""Sew Brake Motor"", ""phase"": ""three phase"", ""speed"": ""1440 rpm"", ""quantity"": ""1 piece"", ""hp"": ""1 hp (0.75 kw)""}"
3 HP 3 Phase Induction Motor 100%copper Winding,"{""material"": ""Copper"", ""power"": ""3 Phase Induction Motor"", ""motor_hp"": ""3 HP"", ""winding"": ""Winding"", ""completion_rate"": ""100%""}"
Refrigerator Motor,"{""power_source"": ""Motor"", ""product"": ""Refrigerator""}"
220hp 960 rpm ELECTRIC MOTOR,"{""power"": ""220hp"", ""speed"": ""960 rpm"", ""operation"": ""ELECTRIC MOTOR""}"
SIMOTICS S synchronous motor 1FK7- 1FK7103-3BC71-1QA1,"{""motor_type"": ""synchronous motor"", ""model_number"": ""1FK7- 1FK7103-3BC71-1QA1"", ""brand"": ""SIMOTICS""}"
SIMOTICS S Synchronous motor 1FK7 1FK7103-2AC71-1RH1,"{""motor_type"": ""Synchronous motor"", ""model_number"": ""1FK7 1FK7103-2AC71-1RH1"", ""brand"": ""SIMOTICS"", ""suffix"": ""S""}"
Face Mounted Motor marathon 75hp,"{""motor"": ""Motor"", ""brand"": ""marathon"", ""mounting"": ""Face Mounted"", ""horsepower"": ""75hp""}"
Solenoid Switches,"{""switch_type"": ""Solenoid Switches""}"
Linear Motor,"{""type"": ""Linear"", ""power_source"": ""Motor""}"
200KW Flange Induction Motor,"{""power"": ""200KW"", ""feature"": ""Flange"", ""motor_type"": ""Induction Motor""}"
valve positioner,"{""attribute"": ""valve positioner""}"
rotex positioner,"{""attribute"": ""positioner"", ""brand"": ""rotex""}"
AC Slip Ring Induction Motor,"{""motor_type"": ""AC Slip Ring Induction Motor""}"
4HP Single Phase Electric Motor 220-240V 50-60Hz for Air Compressor,"{""power"": ""4HP"", ""voltage"": ""220-240V"", ""frequency"": ""50-60Hz"", ""motor"": ""Single Phase Electric Motor for Air Compressor""}"
Crompton  1.5HP 2800RPM  Foot Mounted Motor,"{""motor_type"": ""Foot Mounted Motor"", ""speed_rpm"": ""2800RPM"", ""brand"": ""Crompton"", ""power"": ""1.5HP""}"
Vending machine parts geair motor DC,"{""type"": ""Vending machine parts"", ""motor"": ""DC geair motor""}"
15 hp motor,"{""power"": ""15 hp motor""}"
VSI motor,"{""motor"": ""VSI motor""}"
Indo Cooler Motor Silver line,"{""product_line"": ""Silver line"", ""attribute"": ""Motor"", ""cooler type"": ""Indo Cooler""}"
motor for toto,"{""purpose"": ""for toto"", ""power_source"": ""motor""}"
"Motor Lamination V-4, 92-48-25 (R)","{""attributes"": ""Lamination V-4, 92-48-25 (R)"", ""power_source"": ""Motor""}"
DANFOSS ACTUATOR AME435,"{""actuator"": ""ACTUATOR AME435"", ""brand"": ""DANFOSS""}"
grinding-motor,"{""process"": ""grinding-motor""}"
50 n 100 mm linear motor,"{""motor"": ""linear motor"", ""n"": ""50 n"", ""size"": ""100 mm""}"
Toy motor 3v,"{""motor"": ""Toy motor"", ""voltage"": ""3v""}"
100 mm linear motor,"{""motor"": ""linear motor"", ""size"": ""100 mm""}"
Crompton Greaves 15HP 960RPM  Foot Mounted  Motor,"{""Motor"": ""Foot Mounted Motor"", ""RPM"": ""960RPM"", ""HP"": ""15HP"", ""Brand"": ""Crompton Greaves""}"
Crompton  2HP  2800RPM Flange Floor  Mounted  Motor,"{""Flange"": ""Floor Mounted Motor"", ""Brand"": ""Crompton"", ""RPM"": ""2800RPM"", ""Power"": ""2HP""}"
solenoid switch parts,"{""type"": ""solenoid switch"", ""parts"": ""parts""}"
Crompton  1 HP Mini Sergeant Motor,"{""motor_type"": ""Mini Sergeant Motor"", ""brand"": ""Crompton"", ""power"": ""1 HP""}"
1450 Rpm 1 Hp Motor Cg Make,"{""Make"": ""Cg Make"", ""Speed"": ""1450 Rpm"", ""Power"": ""1 Hp Motor""}"
"Motor Lamination V-4, 92.5-50-28","{""attributes"": ""Lamination V-4, 92.5-50-28"", ""power_source"": ""Motor""}"
Crompton  3HP 1440RPM  Foot Cum Flange Motor,"{""motor_type"": ""Foot Cum Flange Motor"", ""brand"": ""Crompton"", ""speed_rpm"": ""1440RPM"", ""power"": ""3HP""}"
Stepper Motor Controller,"{""controller"": ""Stepper Motor Controller""}"
kirloskar 10 hp 1440 rpm original motor,"{""rpm"": ""1440"", ""motor"": ""original motor"", ""brand"": ""kirloskar"", ""power"": ""10 hp""}"
Single Phase Flange Mounted,"{""phase"": ""Single Phase"", ""mounting"": ""Flange Mounted""}"
PANASONIC MOTOR,"{""brand"": ""PANASONIC MOTOR""}"
Worm Gearbox Motors,"{""gearbox"": ""Worm Gearbox"", ""power_source"": ""Motors""}"
Piston Nebulizer Motor,"{""feature"": ""Piston Nebulizer"", ""power_source"": ""Motor""}"
"Motor Lamination V-6, 137-72-29","{""motor"": ""Motor"", ""product_type"": ""Lamination"", ""part_number"": ""V-6, 137-72-29""}"
Crompton 2HP  Flange Mounted  Motor,{}
mgm brake motors,"{""brand"": ""mgm brake motors""}"
