query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,qmeans_attr_key_10,qmeans_attr_value_10,gemini_attr_key_10,gemini_attr_value_10
"rice bran extraction plant - kabra make, 500 tpd, ss 304, 1 phase",2,6,brand,kabra,brand,kabra,electricity connection,1 phase,capacity,500 tpd,,,material,"""rice bran",,,material,ss 304,,,power,1 phase,,,process,extraction,,,,,,,,,,,,,,,,
rice bran extraction plant 230 v 50 hz,3,4,frequency,50 hz,frequency,50 hz,usage,rice bran extraction,material,"""rice bran",voltage,230 v,type,extraction,,,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,
rice bran extraction plant 480 v single phase,2,4,electricity connection,single phase,material,"""rice bran",voltage,480 v,power_supply,single phase,,,type,extraction,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,
rice bran extraction plant for recycling,0,3,,,material,rice bran,,,process,extraction,,,usage,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rice bran extraction plant for recycling use, 20 kg, 415 v, eureka brand",3,6,brand,eureka,brand,eureka,capacity,"20 kg,",capacity,20 kg,voltage,415,material,"""rice bran",,,type,extraction,,,usage,recycling,,,voltage,415 v,,,,,,,,,,,,,,,,
"rice bran extraction plant machine specifications - brand: eureka, capacity: 1 ton, voltage: 220 v, phase: 3 phase, body material: hdpe, automation: semi-automatic",3,8,automation grade,semi-automatic,automation,semi-automatic,brand,"eureka,",body material,hdpe,capacity,"1 ton,",brand,eureka,,,capacity,1 ton,,,material,"""rice bran",,,phase,3 phase,,,process,extraction,,,voltage,220 v,,,,,,,,
"rice bran extraction plant machine specifications - brand: swaraj, capacity: 10 tpd, voltage: 220 v, phase: 3 phase, body material: stainless steel, automation: semi-automatic",3,10,automation grade,semi-automatic,automation,semi-automatic,brand,"swaraj,",body material,stainless steel,capacity,10,brand,swaraj,,,capacity,10 tpd,,,material,"""rice bran",,,phase,3 phase,,,process,extraction,,,type,plant,,,type,machine,,,voltage,220 v
rice bran extraction plant with 1 hp power 240 v,3,4,motor power,1 hp,material,"""rice bran",usage,rice bran,power,1 hp,voltage,240 v,process,extraction,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic aba blown film machine,1,3,machine type,semi-automatic,feature,semi-automatic,,,type,aba,,,type,blown film,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic aluminium epe foam extruder,4,4,automation grade,semi-automatic,automation,semi-automatic,material,aluminium,material,aluminium,type,extruder,material,epe foam,usage,foam,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic aluminium oil extraction plant,2,3,operation type,semi-automatic,automation,semi-automatic,usage,aluminium oil extraction,material,aluminium,,,usage,oil extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic bitumen extractor for plastic processing, capacity: 25 kg/hr, power: 1 hp",4,5,automation grade,semi-automatic,automation,semi-automatic,capacity,"25 kg/hr,",capacity,25 kg/hr,machine type,bitumen extractor,power,1 hp,motor power,1 hp,product,"""bitumen extractor",,,usage,plastic processing,,,,,,,,,,,,,,,,,,,,
semi-automatic blown film extrusion machine 220 v,2,3,machine type,semi-automatic,automation,"""semi-automatic",voltage,220 v,type,blown film extrusion,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic cast iron tube extrusion machine,3,4,automation grade,semi-automatic,feature,semi-automatic,material,cast iron,machine type,extrusion,product,tube extrusion,material,cast iron,,,product,tube,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic centrifuge extractor for chemical industries, capacity: 200 kg/hr, power: 2 hp",5,5,automation grade,semi-automatic,automation,semi-automatic,capacity,"200 kg/hr,",capacity,200 kg/hr,motor power,2 hp,power,2 hp,product,centrifuge extractor,product,"""centrifuge extractor",usage,chemical,usage,chemical industries,,,,,,,,,,,,,,,,,,,,
semi-automatic co-rotating twin screw extruder 380 v,3,4,operation mode,semi-automatic,operation,"""semi-automatic",type,screw extruder,type,co-rotating twin screw,voltage,380 v,type,extruder,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic co-rotating twin screw extruder 480 v,3,3,operation mode,semi-automatic,automation,"""semi-automatic",type,screw extruder,type,co-rotating twin screw extruder,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic copper extraction plant 230 v,3,4,automation grade,semi-automatic,automation,semi-automatic,usage,copper extraction,material,"""copper",voltage,230 v,type,extraction,,,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic double die extruder 480 v,3,4,automation grade,semi-automatic,automation,"""semi-automatic",type,extruder,die_type,double die,voltage,480 v,type,extruder,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic extruder machine,2,2,automation grade,semi-automatic,automation,semi-automatic,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic foam extruder 440 v,3,4,automation grade,semi-automatic,automation,semi-automatic,type,extruder,material,"""foam",voltage,440 v,type,extruder,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic gold refining machine,1,2,automation grade,semi-automatic,feature,semi-automatic,,,usage,gold refining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic hdpe extruder,3,3,automation grade,semi-automatic,feature,semi-automatic,material,hdpe,material,hdpe,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic jockey extruder for plastic processing, capacity: 1000 liter, power: 10 kw",4,6,automation grade,semi-automatic,automation,"""semi-automatic",brand,jockey,capacity,1000 liter,capacity,1000,material,plastic,type,extruder,power,10 kw,,,type,jockey,,,type,extruder,,,,,,,,,,,,,,,,
"semi-automatic mild steel bitumen extractor, capacity: 20 kg, voltage: 380 v, phase: 1 phase",4,5,machine type,bitumen,capacity,20 kg,material,mild steel,material,"""mild steel",operation mode,semi-automatic,phase,1 phase,voltage,380,product,bitumen extractor,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,
semi-automatic mild steel film extrusion machine,2,3,automation grade,semi-automatic,automation,semi-automatic,material,mild steel,machine type,film extrusion,,,material,mild steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic mild steel oleoresin extraction plant, capacity: 50 tpd, voltage: 400 v, phase: three phase",3,5,capacity,"50 tpd,",capacity,50 tpd,material,mild steel,material,"""mild steel",usage,oleoresin extraction,phase,three phase,,,product,oleoresin extraction,,,voltage,400 v,,,,,,,,,,,,,,,,,,,,
semi-automatic mild steel pp extruder,3,4,automation grade,semi-automatic,automation,"""semi-automatic",material,mild steel,material,mild steel,type,pp extruder,material,pp,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic mild steel zinc recovery unit, capacity: 20 tpd, voltage: 440 v, phase: single phase",5,5,automation grade,semi-automatic,capacity,20 tpd,capacity,"20 tpd,",material,"""mild steel",material,mild steel,phase,single phase,single phase,phase,product,zinc recovery unit,usage,zinc recovery,voltage,440 v,,,,,,,,,,,,,,,,,,,,
"semi-automatic mother baby extruder for chemical industries applications, 5 kg/hr capacity, 240 v voltage rating, 1 phase power supply, titanium body",5,8,automation grade,semi-automatic,automation,"""semi-automatic",capacity,5 kg/hr,capacity,5 kg/hr,material,titanium,material,titanium,model name/number,baby extruder,power supply,1 phase,usage,chemical industries,type,extruder,,,usage,mother baby,,,usage,chemical industries,,,voltage,240 v,,,,,,,,
"semi-automatic oleoresin extraction plant for pharmaceutical, capacity: 50 kg/hr, power: 7.5 kw",2,5,capacity,"50 kg/hr,",automation,semi-automatic,usage,"pharmaceutical,",capacity,50 kg/hr,,,power,7.5 kw,,,product,"""oleoresin extraction",,,usage,pharmaceutical,,,,,,,,,,,,,,,,,,,,
semi-automatic pet extruder,2,3,automation grade,semi-automatic,automation,semi-automatic,type,extruder,material,pet,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic plastic recycling extruder,3,4,automation grade,semi-automatic,feature,semi-automatic,type,extruder,material,plastic,usage,plastic recycling,type,extruder,,,usage,recycling,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic pvc extruder 220 v,3,3,automation grade,semi-automatic,automation,semi-automatic,type,extruder,material,pvc,voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic pvc pipe extruder,3,3,automation grade,semi-automatic,automation,semi-automatic,material,pvc,product,pvc pipe,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic pvc silver refinery machine, capacity: 25 kg, voltage: 480 v, phase: single phase",3,6,automation grade,semi-automatic,capacity,25 kg,material,pvc,material,"""pvc",phase,single phase,phase,single phase,,,type,refinery,,,usage,silver,,,voltage,480 v,,,,,,,,,,,,,,,,
"semi-automatic rice bran extraction plant for recycling applications, 1 ton capacity, 440 v voltage rating, three phase power supply, pp body",4,7,automation grade,semi-automatic,capacity,1 ton,capacity,1 ton,material,"""rice bran",machine name,rice bran extraction plant,material,pp,phase,three phase,power supply,three phase,,,type,extraction plant,,,usage,recycling,,,voltage,440 v,,,,,,,,,,,,
semi-automatic sheet extruder 415 v,2,3,automation grade,semi-automatic,automation,"""semi-automatic",voltage,415 v,type,extruder,,,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic single die extruder for research, capacity: 10 kg, power: 50 hp",4,6,automation grade,semi-automatic,automation,"""semi-automatic",capacity,"10 kg,",capacity,10 kg,motor power,50 hp,die type,single die,number of dies,single,power,50 hp,,,type,extruder,,,usage,research,,,,,,,,,,,,,,,,
semi-automatic solid phase extraction system,2,2,automation grade,semi-automatic,automation,semi-automatic,product,solid phase extraction,type,solid phase extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic solid phase extraction system for food processing, capacity: 5 ton, power: 15 kw",3,4,automation grade,semi-automatic,capacity,5 ton,capacity,"5 ton,",power,15 kw,product,solid phase extraction,product,"""semi-automatic solid phase extraction system",,,usage,food processing,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic solid phase extraction system for packaging, capacity: 25 kg, power: 10 kw",3,5,automation grade,semi-automatic,automation,semi-automatic,capacity,10 kw,capacity,25 kg,product,solid phase extraction,power,10 kw,,,product,"""solid phase extraction system",,,usage,packaging,,,,,,,,,,,,,,,,,,,,
semi-automatic ss 304 solid phase extraction system,3,3,automation grade,semi-automatic,automation,"""semi-automatic",material grade,ss 304,material,ss 304,product,solid phase extraction system,type,solid phase extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic ss 304 xlpe cable extruder, capacity: 100 kg/hr, voltage: 230 v, phase: single phase",4,6,automation grade,semi-automatic,capacity,100 kg/hr,capacity,"100 kg/hr,",material,"""ss 304",phase,single phase,material,xlpe,voltage,230,phase,single phase,,,type,cable extruder,,,voltage,230 v,,,,,,,,,,,,,,,,
semi-automatic ss 316 metal recovery plant,2,3,automation grade,semi-automatic,automation,"""semi-automatic",material grade,ss 316,material,ss 316,,,usage,metal recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic ss wire extruder, capacity: 10 tpd, voltage: 440 v, phase: 1 phase",4,5,automation grade,semi-automatic,capacity,10 tpd,capacity,"10 tpd,",material,"""ss wire",material,ss,phase,1 phase,phase,1,type,extruder,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,
"semi-automatic stainless steel lab extruder, capacity: 250 kg/hr, voltage: 480 v, phase: single phase",6,5,automation grade,semi-automatic,capacity,250 kg/hr,capacity,"250 kg/hr,",material,"""stainless steel",material,stainless steel,phase,single phase,phase,single phase,type,extruder,type,"extruder,",voltage,480 v,usage,lab,,,,,,,,,,,,,,,,,,
"semi-automatic stainless steel solid phase extraction system, capacity: 100 liter, voltage: 415 v, phase: 1 phase",4,5,1 phase,phase,capacity,100 liter,automation grade,semi-automatic,material,"""stainless steel",capacity,100,phase,1 phase,material,stainless steel,type,solid phase extraction system,,,voltage,415 v,,,,,,,,,,,,,,,,,,,,
"semi-automatic titanium single die extruder, capacity: 100 tpd, voltage: 480 v, phase: 3 phase",3,5,automation grade,semi-automatic,capacity,100 tpd,material,titanium,material,"""titanium",phase,3 phase,phase,3 phase,,,type,single die extruder,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,
semi-automatic tube extrusion machine,1,3,automation grade,semi-automatic,automation,semi-automatic,,,machine type,extrusion,,,product,tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic tube extrusion machine,1,3,automation grade,semi-automatic,automation,semi-automatic,,,machine type,extrusion,,,product,tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic tube extrusion machine,1,3,automation grade,semi-automatic,automation,semi-automatic,,,machine type,extrusion,,,product,tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic tube extrusion machine,1,3,automation grade,semi-automatic,automation,semi-automatic,,,machine type,extrusion,,,product,tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic twin screw extruder,2,3,automation grade,semi-automatic,automation,semi-automatic,type,screw extruder,type,twin screw,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic wpc extruder 220 v,4,4,automation grade,semi-automatic,automation,"""semi-automatic",material,wpc,material,wpc,type,extruder,type,extruder,voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,
"sheet extruder - co-rotating design, 50 kg/hr output, 415 v, three phase, ss 304 construction, prism brand, manual operation",3,8,automation grade,manual,brand,prism,brand,prism,capacity,50 kg/hr,capacity,50 kg/hr,design,co-rotating,,,material,ss 304,,,operation,manual operation,,,power,three phase,,,type,"""sheet extruder",,,voltage,415 v,,,,,,,,
"sheet extruder - twin screw design, 10 ton output, 415 v, three phase, stainless steel construction, unique brand, semi-automatic operation",5,8,automation grade,semi-automatic,brand,unique,brand,unique,capacity,10 ton,capacity,10 ton,design,twin screw,material,stainless steel,material,stainless steel,model name/number,sheet extruder,operation,semi-automatic,,,power,three phase,,,type,"""extruder",,,voltage,415 v,,,,,,,,
sheet extruder 10 kw motor 750 kg/hr,2,3,capacity,750 kg/hr,capacity,750 kg/hr,type,extruder,power,10 kw,,,type,"""extruder",,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder 230 v 1 phase,2,3,phase,1 phase,power_phase,1 phase,voltage,230 v,type,"""extruder",,,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder 240 v single phase,2,3,phase,single phase,power_supply,single phase,voltage,240 v,type,"""extruder",,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder for wire & cable,2,3,type,extruder,material,sheet,usage,wire,type,extruder,,,usage,wire & cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder with 20 hp power 380 v,3,3,motor power,20 hp,power,20 hp,type,sheet extruder,type,"""extruder",voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder with 5 hp power 440 v,3,3,motor power,5 hp,power,5 hp,type,sheet extruder,type,"""extruder",voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver refinery machine,2,2,melting material,silver,type,refinery,type,refinery,usage,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver refinery machine co-rotating design 10 kg/hr,1,4,capacity,10 kg/hr,capacity,10 kg/hr,,,design,co-rotating,,,type,refinery,,,usage,"""silver",,,,,,,,,,,,,,,,,,,,,,,,
silver refinery machine for packaging,2,3,machine name,silver refinery machine,type,refinery,usage,packaging,usage,silver,,,usage,packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver refinery machine for packaging 5 kg,3,4,capacity,5 kg,capacity,5 kg,machine name,silver refinery machine,type,refinery,usage,packaging,usage,"""silver",,,usage,packaging,,,,,,,,,,,,,,,,,,,,,,,,
"silver refining plant - parallel design, 30 kg output, 240 v, three phase, ss 304 construction, laxmi brand, semi-automatic operation",2,8,automation grade,semi-automatic,brand,laxmi,brand,laxmi,capacity,30 kg,,,material,ss 304,,,operation_mode,semi-automatic,,,power_supply,three phase,,,type,refining,,,usage,"""silver",,,voltage,240 v,,,,,,,,
silver refining plant 240 v,3,3,refining material,silver,type,refining,type,refining plant,usage,"""silver",voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver refining plant 415 v,3,3,refining material,silver,type,refining,type,refining plant,usage,"""silver",voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver refining plant single screw design 25 kg/hr,1,4,capacity,25 kg/hr,capacity,25 kg/hr,,,design,single screw,,,type,refining,,,usage,"""silver",,,,,,,,,,,,,,,,,,,,,,,,
silver refining plant with 10 kw power 380 v,4,4,power,10 kw,power,10 kw,refining material,silver,type,refining,type,refining plant,usage,"""silver",voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,
"single die extruder - turbo make, 50 kg, mild steel, 1 phase",3,6,brand,turbo,capacity,50 kg,material,"mild steel,",make,turbo,phase,1 phase,material,mild steel,,,power,1 phase,,,type,"""single die",,,type,extruder,,,,,,,,,,,,,,,,
single die extruder 230 v 60 hz,4,3,frequency,60 hz,frequency,60 hz,number of dies,single die,type,"""single die",type,extruder,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,
single die extruder 440 v 1 phase,4,4,number of dies,single die,power_phase,1 phase,phase,1 phase,type,"""single die",type,extruder,type,extruder,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
single die extruder for pharmaceutical,3,3,number of dies,single die,type,single die,type,extruder,type,extruder,usage,pharmaceutical,usage,pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"single die extruder for plastic processing use, 250 kg/hr, 440 v, mahindra brand",4,6,brand,mahindra,brand,mahindra,capacity,"250 kg/hr,",capacity,250 kg/hr,number of dies,single die,type,"""single die",usage,plastic processing,type,extruder,,,usage,plastic processing,,,voltage,440 v,,,,,,,,,,,,,,,,
single die extruder twin screw design 200 kg/hr,2,4,capacity,200 kg/hr,capacity,200 kg/hr,number of dies,single die,design,"""single die",,,design,twin screw,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
single die extruder with 3 hp power 380 v,4,4,motor power,3 hp,power,3 hp,number of dies,single die,type,"""single die",type,extruder,type,extruder,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,
single screw aluminium extrusion plant 50 kg fully automatic 400 v,4,6,automation grade,automatic,capacity,50 kg,capacity,50 kg,feature,fully automatic,material,aluminium,machine type,extrusion,voltage,400 v,material,"""aluminium",,,type,single screw,,,voltage,400 v,,,,,,,,,,,,,,,,
single screw aluminium extrusion plant 750 kg/hr manual 230 v,4,6,automation grade,manual,capacity,750 kg/hr,capacity,750 kg/hr,control,manual,material,aluminium,machine type,extrusion,voltage,230 v,material,aluminium,,,type,"""single screw",,,voltage,230 v,,,,,,,,,,,,,,,,
single screw double die extruder 30 kg fully automatic 400 v,3,6,automation grade,automatic,capacity,30 kg,capacity,30 kg,feature,fully automatic,voltage,400 v,type,"""single screw",,,type,double die,,,type,extruder,,,voltage,400 v,,,,,,,,,,,,,,,,
single screw oleoresin extraction plant 5 kg fully automatic 220 v,2,5,capacity,5 kg,capacity,5 kg,voltage,220 v,feature,fully automatic,,,type,"""single screw",,,usage,oleoresin extraction,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,
single screw silver refinery machine 5 kg automatic 480 v,4,6,automation grade,automatic,capacity,5 kg,capacity,5 kg,feature,automatic,screw type,single screw,type,"""single screw",voltage,480 v,type,refinery,,,usage,silver,,,voltage,480 v,,,,,,,,,,,,,,,,
solid phase extraction system,1,1,product,extraction,type,solid phase extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"solid phase extraction system - laxmi make, 250 kg/hr, stainless steel, single phase",3,5,brand,laxmi,brand,laxmi,capacity,"250 kg/hr,",capacity,250 kg/hr,phase,single phase,material,stainless steel,,,power,single phase,,,type,"""solid phase extraction",,,,,,,,,,,,,,,,,,,,
"solid phase extraction system - parallel design, 150 kg/hr output, 220 v, single phase, ss 304 construction, teknik brand, semi-automatic operation",3,8,automation grade,semi-automatic,brand,teknik,brand,teknik,capacity,150 kg/hr,capacity,150 kg/hr,design,parallel design,,,material,ss 304,,,operation,semi-automatic,,,phase,single phase,,,type,"""solid phase extraction",,,voltage,220 v,,,,,,,,
solid phase extraction system 2 kw motor 10 tpd,2,3,capacity,10 tpd,capacity,10 tpd,power,2 kw,power,2 kw,,,type,"""solid phase extraction",,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid phase extraction system 220 v 50 hz,3,3,frequency,50 hz,frequency,50 hz,product,solid phase extraction,product,"""solid phase extraction",voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid phase extraction system 3 kw motor 20 kg,1,3,power,3 kw,capacity,20 kg,,,power,3 kw,,,type,"""solid phase extraction",,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid phase extraction system 400 v,2,2,product,solid phase extraction,type,"""solid phase extraction",voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solid phase extraction system for agricultural 100 kg,3,3,capacity,100 kg,capacity,100 kg,product,solid phase extraction,type,"""solid phase extraction",usage,agricultural,usage,agricultural,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"solid phase extraction system machine specifications - brand: kabra, capacity: 20 kg, voltage: 220 v, phase: 1 phase, body material: stainless steel, automation: fully automatic",3,7,automation grade,automatic,automation,fully automatic,brand,"kabra,",body material,stainless steel,capacity,"20 kg,",brand,"""kabra",,,capacity,20 kg,,,phase,1 phase,,,product,solid phase extraction system,,,voltage,220 v,,,,,,,,,,,,
solvent extraction plant,1,1,usage,solvent extraction,usage,solvent extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solvent extraction plant,1,1,usage,solvent extraction,usage,solvent extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solvent extraction plant,1,1,usage,solvent extraction,usage,solvent extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solvent extraction plant,1,1,usage,solvent extraction,usage,solvent extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solvent extraction plant 415 v 1 phase,2,3,phase,1 phase,phase,1 phase,voltage,415 v,usage,"""solvent extraction",,,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solvent extraction plant for food processing,1,2,usage,food processing,usage,solvent extraction,,,usage,food processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solvent extraction plant for industrial,2,2,type,solvent extraction,usage,solvent extraction,usage,industrial,usage,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"solvent extraction plant for plastic processing use, 5 ton, 400 v, rajco brand",2,5,brand,rajco,brand,rajco,capacity,"5 ton,",capacity,5 ton,,,usage,"""solvent extraction",,,usage,plastic processing,,,voltage,400 v,,,,,,,,,,,,,,,,,,,,
solvent extraction plant machine 20 tpd output 480 v 3 phase ms,4,7,capacity,20 tpd,capacity,20 tpd,material,ms,material,ms,phase,3 phase,power_supply,3 phase,voltage,480 v,type,plant,,,type,machine,,,usage,"""solvent extraction",,,voltage,480 v,,,,,,,,,,,,
solvent extraction plant with 25 hp power 480 v,3,3,motor power,25 hp,power,25 hp,type,solvent extraction,usage,"""solvent extraction",voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 body centrifuge extractor with 300 kg/hr capacity and 415 v voltage,4,4,capacity,300 kg/hr,capacity,300 kg/hr,material grade,ss 304,material,"""ss 304",product,centrifuge,product,centrifuge extractor,voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 body pvc extruder 100 kg,4,4,capacity,100 kg,capacity,100 kg,material,pvc,material,"""ss 304",material grade,ss 304,material,pvc,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 body pvc extruder 200 liter,4,4,capacity,200 liter,capacity,200 liter,material,pvc,material,"""ss 304",material grade,ss 304,material,pvc,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 cable extruder,2,3,material grade,ss 304,material,ss 304,type,extruder,product,cable,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 extruder machine 500 kg capacity,3,3,capacity,500 kg,capacity,500 kg,material grade,ss 304,material,"""ss 304",type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 liquid extraction system,2,2,material grade,ss 304,material,ss 304,product,liquid extraction system,usage,liquid extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 monolayer extruder,2,3,material grade,ss 304,material,ss 304,type,extruder,type,monolayer,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 mother baby extruder,2,3,material grade,ss 304,material,"""ss 304",type,extruder,type,extruder,,,usage,mother baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 pipe extrusion machine,1,3,material grade,ss 304,machine type,extrusion,,,material,ss 304,,,product,pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 pvc extruder,3,3,material,pvc,material,ss 304,material grade,ss 304,material,pvc,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss 304 sheet extruder 10 tpd capacity,3,4,capacity,10 tpd,capacity,10 tpd,material grade,ss 304,material,"""ss 304",type,extruder,product,sheet,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
ss 316 body bitumen extractor 750 kg/hr,3,4,capacity,750 kg/hr,capacity,750 kg/hr,machine type,bitumen extractor,material,"""ss 316",steel grade,ss 316,part,body,,,product,bitumen extractor,,,,,,,,,,,,,,,,,,,,,,,,
ss 316 body centrifuge extractor with 5 tpd capacity and 400 v voltage,4,4,capacity,5 tpd,capacity,5 tpd,material grade,ss 316,material,"""ss 316",product,centrifuge,product,centrifuge extractor,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,
ss 316 body pvc extruder 100 tpd,4,4,capacity,100 tpd,capacity,100 tpd,material,pvc,material,"""ss 316",material grade,ss 316,material,pvc,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
ss 316 extruder machine 25 kg capacity,3,3,capacity,25 kg,capacity,25 kg,material grade,ss 316,material,ss 316,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss 316 film extrusion machine 1000 liter capacity,2,3,capacity,1000 liter,capacity,1000 liter,material grade,ss 316,machine type,film extrusion,,,material,"""ss 316",,,,,,,,,,,,,,,,,,,,,,,,,,,,
