query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9
pvc foam extruder,1,0,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvc gold refinery plant 1000 kg/hr capacity,2,2,capacity,1000 kg/hr,plastic processed,"""pvc",material,pvc,production capacity,1000 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvc lab extruder,3,0,material,pvc,,,type,extruder,,,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,,,
pvc oleoresin extraction plant 200 kg capacity,1,2,capacity,200 kg,capacity(kg),200 kg,,,plastic processed,"""pvc",,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvc pipe extruder 7.5 hp motor 200 liter,2,3,capacity,200 liter,capacity(litre),200 liter,usage,pipe extruder,motor power,7.5 hp,,,plastic processed,"""pvc pipe",,,,,,,,,,,,,,,,,,,,,,,,
pvc pipe extruder machine 100 liter output 400 v 3 phase stainless steel,5,5,capacity,100 liter,body material,stainless steel,material,stainless steel,capacity(litre),100 liter,phase,3 phase,phase,three phase,type,extruder,plastic processed,"""pvc pipe",voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,
"pvc pipe extruder machine specifications - brand: labh group, capacity: 5 kg, voltage: 440 v, phase: 1 phase, body material: titanium, automation: manual",5,5,automation grade,manual,automation grade,manual,brand,labh,body material,titanium,capacity,"5 kg,",capacity,"""5 kg",material,pvc,phase,1 phase,model name/number,pipe extruder,voltage,440 v,,,,,,,,,,,,,,,,
pvc polymer extruder 100 kg/hr capacity,3,2,capacity,100 kg/hr,plastic processed,"""pvc",material,pvc,production capacity,100 kg/hr,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
rajco automatic liquid extraction system,3,2,automation grade,automatic,automation grade,automatic,brand,rajco,brand,rajco,product,liquid extraction system,,,,,,,,,,,,,,,,,,,,,,,,,,
"rajco automatic polymer extruder, 1000 kg/hr, 380 v, three phase",3,5,brand,rajco,automation grade,automatic,capacity,"1000 kg/hr,",brand,"""rajco",phase,three phase,phase,three phase,,,production capacity,1000 kg/hr,,,voltage,380 v,,,,,,,,,,,,,,,,
rajco blown film extrusion machine,2,2,brand,rajco,brand,rajco,product,blown film extrusion machine,machine type,blown film extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rajco extruder machine 10 ton,3,2,brand,rajco,brand,rajco,capacity,10 ton,weight,10 ton,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"rajco fully automatic basket extruder, 50 tpd, 415 v, three phase",3,5,automation grade,automatic,automation grade,fully automatic,brand,rajco,brand,"""rajco",phase,three phase,phase,three phase,,,production capacity,50 tpd,,,voltage,415 v,,,,,,,,,,,,,,,,
"rajco fully automatic gold refinery plant machine with 100 kg capacity, 230 v voltage, 3 phase, pp body, suitable for packaging",4,7,automation grade,automatic,application,packaging,brand,rajco,automation grade,fully automatic,capacity,100 kg,body material,pp,model name/number,gold refinery,brand,"""rajco",,,capacity,100 kg,,,phase,three phase,,,voltage,230 v,,,,,,,,
"rajco fully automatic multi layer extruder machine with 200 liter capacity, 230 v voltage, three phase, ss 316 body, suitable for wire & cable",4,7,automation grade,automatic,automation grade,fully automatic,brand,rajco,body material,ss 316,capacity,200 liter,brand,"""rajco",model name/number,extruder,capacity(litre),200 liter,,,phase,three phase,,,usage/application,wire & cable,,,voltage,230 v,,,,,,,,
"rajco fully automatic oil extraction plant, 500 tpd, 230 v, single phase",3,5,brand,rajco,automation grade,fully automatic,operation type,automatic,brand,"""rajco",phase,single phase,capacity,500 tpd,,,phase,single phase,,,voltage,230 v,,,,,,,,,,,,,,,,
"rajco fully automatic pet extruder, 150 kg/hr, 415 v, three phase",4,5,automation grade,automatic,automation grade,fully automatic,brand,rajco,brand,"""rajco",capacity,"150 kg/hr,",phase,three phase,phase,three phase,production capacity,150 kg/hr,,,voltage,415 v,,,,,,,,,,,,,,,,
"rajco fully automatic sheet extruder, 1 tpd, 480 v, three phase",3,6,automation grade,automatic,automation grade,fully automatic,brand,rajco,brand,"""rajco",phase,three phase,capacity,1 tpd,,,output shape,sheet,,,phase,three phase,,,voltage,480 v,,,,,,,,,,,,
"rajco make fully automatic cable extruder, production capacity: 200 kg/hr, voltage: 230 v, phase: 1 phase, material: hdpe, power: 15 hp",4,7,automation grade,automatic,automation grade,fully automatic,brand,rajco,brand,"""rajco",capacity,"200 kg/hr,",material,hdpe,motor power,15 hp,motor power,15 hp,,,phase,1 phase,,,production capacity,200 kg/hr,,,voltage,230 v,,,,,,,,
rajco manual cable extruder,2,3,automation grade,manual,automation grade,manual,brand,rajco,brand,"""rajco",,,type,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,
rajco manual extruder machine,3,2,automation grade,manual,automation grade,manual,brand,rajco,brand,"""rajco",type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
rajco manual jockey extruder,1,0,brand,rajco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rajco manual multi layer extruder machine with 50 tpd capacity, 480 v voltage, 1 phase, pp body, suitable for plastic processing",3,8,automation grade,manual,automation grade,manual,brand,rajco,body material,pp,model name/number,extruder,brand,"""rajco",,,layer,multilayer,,,material to be extruded,plastic,,,phase,1 phase,,,production capacity,50 mt,,,voltage,480 v,,,,
rajco oil extraction plant 500 kg/hr,2,2,brand,rajco,brand,"""rajco",capacity,500 kg/hr,production capacity,500 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rajco oleoresin extraction plant 10 ton,2,2,brand,rajco,brand,"""rajco",capacity,10 ton,capacity,10 ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rajco oleoresin extraction plant 30 kg,3,2,brand,rajco,brand,"""rajco",capacity,30 kg,capacity(kg),30 kg,product,oleoresin extraction plant,,,,,,,,,,,,,,,,,,,,,,,,,,
rajco semi-automatic extruder machine,3,2,automation grade,semi-automatic,automation grade,semi automatic,brand,rajco,brand,"""rajco",type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"rajco semi-automatic hdpe extruder machine with 10 kg capacity, 380 v voltage, 1 phase, stainless steel body, suitable for laboratory",6,8,automation grade,semi-automatic,automation grade,semi-automatic,brand,rajco,body material,stainless steel,capacity,10 kg,brand,"""rajco",material,stainless steel,capacity(kg),10 kg,model name/number,extruder,industry type,laboratory,usage,laboratory,material to be extruded,hdpe,,,phase,1 phase,,,voltage,380 v,,,,
"rajco semi-automatic tube extrusion machine, 5 tpd, 240 v, single phase",2,6,brand,rajco,automation grade,semi automatic,phase,single phase,brand,"""rajco",,,capacity,5 tpd,,,phase,single phase,,,type,tube extrusion machine,,,voltage,240 v,,,,,,,,,,,,
rajco silver refinery machine,2,2,brand,rajco,brand,rajco,product,silver refinery machine,metal,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refurbished conical twin screw extruder,2,3,shape,conical,condition,new,type,screw extruder,screw design,conical,,,screw design,twin screw,,,,,,,,,,,,,,,,,,,,,,,,
refurbished curcumin extraction plant,1,0,machine condition,refurbished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refurbished gold refinery plant,2,0,machine condition,refurbished,,,type,refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refurbished polymer extruder,2,0,material,polymer,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refurbished xlpe cable extruder,3,0,machine condition,refurbished,,,material,xlpe,,,type,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"rice bran extraction plant - kabra make, 500 tpd, ss 304, 1 phase",2,4,brand,kabra,brand,"""kabra",electricity connection,1 phase,capacity,500 tpd,,,material grade,ss 304,,,phase,1 phase,,,,,,,,,,,,,,,,,,,,
rice bran extraction plant 230 v 50 hz,3,2,frequency,50 hz,frequency,50 hz,usage,rice bran extraction,voltage,"""230 v",voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,
rice bran extraction plant 480 v single phase,2,3,electricity connection,single phase,phase,single phase,voltage,480 v,raw material,"""rice bran",,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,
rice bran extraction plant for recycling,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rice bran extraction plant for recycling use, 20 kg, 415 v, eureka brand",3,6,brand,eureka,capacity(kg),"""20 kg",capacity,"20 kg,",country of origin,india,voltage,415,extraction method,solvent extraction,,,i deal in,new,,,usage/application,herbal extraction,,,voltage (v),415 v,,,,,,,,,,,,
"rice bran extraction plant machine specifications - brand: eureka, capacity: 1 ton, voltage: 220 v, phase: 3 phase, body material: hdpe, automation: semi-automatic",3,5,automation grade,semi-automatic,automation grade,semi-automatic,brand,"eureka,",body material,hdpe,capacity,"1 ton,",capacity,"""1 ton",,,phase,3 phase,,,voltage,220 v,,,,,,,,,,,,,,,,
"rice bran extraction plant machine specifications - brand: swaraj, capacity: 10 tpd, voltage: 220 v, phase: 3 phase, body material: stainless steel, automation: semi-automatic",3,6,automation grade,semi-automatic,automation grade,semi-automatic,brand,"swaraj,",body material,stainless steel,capacity,10,brand,"""swaraj",,,capacity,10 tpd,,,phase,3 phase,,,voltage,220 v,,,,,,,,,,,,
rice bran extraction plant with 1 hp power 240 v,3,2,motor power,1 hp,motor power,"""1 hp",usage,rice bran,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic aba blown film machine,1,2,machine type,semi-automatic,automation grade,"""semi-automatic",,,model name/number,aba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic aluminium epe foam extruder,4,2,automation grade,semi-automatic,automation grade,semi automatic,material,aluminium,material to be extruded,aluminium,type,extruder,,,usage,foam,,,,,,,,,,,,,,,,,,,,,,
semi-automatic aluminium oil extraction plant,2,2,operation type,semi-automatic,automation grade,semi automatic,usage,aluminium oil extraction,material to be extruded,aluminium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic bitumen extractor for plastic processing, capacity: 25 kg/hr, power: 1 hp",4,4,automation grade,semi-automatic,automation grade,"""semi-automatic",capacity,"25 kg/hr,",material to be extruded,plastic,machine type,bitumen extractor,motor power,1 hp,motor power,1 hp,production capacity,25 kg/hr,,,,,,,,,,,,,,,,,,,,
semi-automatic blown film extrusion machine 220 v,2,3,machine type,semi-automatic,automation grade,"""semi automatic",voltage,220 v,machine type,blown film extrusion machine,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic cast iron tube extrusion machine,3,3,automation grade,semi-automatic,automation grade,"""semi-automatic",material,cast iron,body material,cast iron,product,tube extrusion,machine type,tube extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic centrifuge extractor for chemical industries, capacity: 200 kg/hr, power: 2 hp",5,3,automation grade,semi-automatic,automation grade,"""semi-automatic",capacity,"200 kg/hr,",power,2 hp,motor power,2 hp,production capacity,200 kg/hr,product,centrifuge extractor,,,usage,chemical,,,,,,,,,,,,,,,,,,
semi-automatic co-rotating twin screw extruder 380 v,3,3,operation mode,semi-automatic,automation grade,"""semi-automatic",type,screw extruder,screw design,twin screw,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic co-rotating twin screw extruder 480 v,3,3,operation mode,semi-automatic,automation grade,"""semi-automatic",type,screw extruder,screw design,twin screw,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic copper extraction plant 230 v,3,3,automation grade,semi-automatic,automation grade,"""semi automatic",usage,copper extraction,material to be extruded,copper,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic double die extruder 480 v,3,2,automation grade,semi-automatic,automation grade,"""semi-automatic",type,extruder,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic extruder machine,2,2,automation grade,semi-automatic,automation grade,semi automatic,type,extruder,product type,machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic foam extruder 440 v,3,3,automation grade,semi-automatic,automation grade,semi-automatic,type,extruder,type,extruder,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic gold refining machine,1,2,automation grade,semi-automatic,automation grade,semi automatic,,,usage/application,gold refining plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic hdpe extruder,3,2,automation grade,semi-automatic,automation grade,semi automatic,material,hdpe,material to be extruded,hdpe,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic jockey extruder for plastic processing, capacity: 1000 liter, power: 10 kw",4,4,automation grade,semi-automatic,automation grade,"""semi automatic",brand,jockey,capacity,1000,capacity,1000,material to be extruded,plastic,type,extruder,power,10 kw,,,,,,,,,,,,,,,,,,,,
"semi-automatic mild steel bitumen extractor, capacity: 20 kg, voltage: 380 v, phase: 1 phase",4,5,machine type,bitumen,automation grade,"""semi-automatic",material,mild steel,body material,mild steel,operation mode,semi-automatic,capacity(kg),20 kg,voltage,380,phase,1 phase,,,voltage (v),380 v,,,,,,,,,,,,,,,,
semi-automatic mild steel film extrusion machine,2,4,automation grade,semi-automatic,automation grade,"""semi automatic",material,mild steel,body material,mild steel,,,film thickness,film,,,type,extrusion,,,,,,,,,,,,,,,,,,,,
"semi-automatic mild steel oleoresin extraction plant, capacity: 50 tpd, voltage: 400 v, phase: three phase",3,5,capacity,"50 tpd,",automation grade,"""semi-automatic",material,mild steel,body material,mild steel,usage,oleoresin extraction,capacity,50 tpd,,,phase,three phase,,,voltage,400 v,,,,,,,,,,,,,,,,
semi-automatic mild steel pp extruder,3,3,automation grade,semi-automatic,automation grade,"""semi automatic",material,mild steel,body material,mild steel,type,pp extruder,material to be extruded,pp,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic mild steel zinc recovery unit, capacity: 20 tpd, voltage: 440 v, phase: single phase",5,5,automation grade,semi-automatic,automation grade,"""semi-automatic",capacity,"20 tpd,",body material,mild steel,material,mild steel,capacity,20 tpd,single phase,phase,phase,single phase,usage,zinc recovery,voltage,440 v,,,,,,,,,,,,,,,,
"semi-automatic mother baby extruder for chemical industries applications, 5 kg/hr capacity, 240 v voltage rating, 1 phase power supply, titanium body",5,7,automation grade,semi-automatic,automation grade,"""semi-automatic",capacity,5 kg/hr,body material,titanium,material,titanium,industry type,chemical industry,model name/number,baby extruder,machine type,mother baby extruder,usage,chemical industries,phase,1 phase,,,production capacity,5 kg/hr,,,voltage,240 v,,,,,,,,
"semi-automatic oleoresin extraction plant for pharmaceutical, capacity: 50 kg/hr, power: 7.5 kw",2,4,capacity,"50 kg/hr,",automation grade,"""semi-automatic",usage,"pharmaceutical,",power,7.5 kw,,,production capacity,50 kg/hr,,,usage/application,food and beverages and cosmetics industries,,,,,,,,,,,,,,,,,,,,
semi-automatic pet extruder,2,2,automation grade,semi-automatic,automation grade,"""semi-automatic",type,extruder,material to be extruded,pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic plastic recycling extruder,3,2,automation grade,semi-automatic,automation grade,semi-automatic,type,extruder,material to be extruded,plastic,usage,plastic recycling,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic pvc extruder 220 v,3,3,automation grade,semi-automatic,automation grade,"""semi automatic",type,extruder,plastic processed,pvc,voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic pvc pipe extruder,3,3,automation grade,semi-automatic,automation grade,"""semi automatic",material,pvc,plastic processed,pvc,type,extruder,type,pipe extruder,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic pvc silver refinery machine, capacity: 25 kg, voltage: 480 v, phase: single phase",3,6,automation grade,semi-automatic,automation grade,"""semi-automatic",material,pvc,capacity,25 kg,phase,single phase,metal,silver,,,phase,single phase,,,plastic processed,pvc,,,voltage (v),480 v,,,,,,,,,,,,
"semi-automatic rice bran extraction plant for recycling applications, 1 ton capacity, 440 v voltage rating, three phase power supply, pp body",4,5,automation grade,semi-automatic,automation grade,"""semi-automatic",capacity,1 ton,body material,pp,machine name,rice bran extraction plant,capacity,1 ton,phase,three phase,phase,three phase,,,voltage,440 v,,,,,,,,,,,,,,,,
semi-automatic sheet extruder 415 v,2,2,automation grade,semi-automatic,automation grade,"""semi-automatic",voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic single die extruder for research, capacity: 10 kg, power: 50 hp",4,4,automation grade,semi-automatic,automation grade,"""semi automatic",capacity,"10 kg,",capacity(kg),10 kg,motor power,50 hp,die,single die,number of dies,single,motor power,50 hp,,,,,,,,,,,,,,,,,,,,
semi-automatic solid phase extraction system,2,2,automation grade,semi-automatic,automation grade,semi-automatic,product,solid phase extraction,model name/number,solid phase extraction positive pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic solid phase extraction system for food processing, capacity: 5 ton, power: 15 kw",3,4,automation grade,semi-automatic,application,food process industry,capacity,"5 ton,",automation grade,"""semi-automatic",product,solid phase extraction,power,15 kw,,,weight,5 ton,,,,,,,,,,,,,,,,,,,,
"semi-automatic solid phase extraction system for packaging, capacity: 25 kg, power: 10 kw",3,3,automation grade,semi-automatic,automation grade,"""semi-automatic",capacity,10 kw,capacity,25 kg,product,solid phase extraction,power,10 kw,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic ss 304 solid phase extraction system,3,2,automation grade,semi-automatic,automation grade,"""semi automatic",material grade,ss 304,body material,ss,product,solid phase extraction system,,,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic ss 304 xlpe cable extruder, capacity: 100 kg/hr, voltage: 230 v, phase: single phase",4,5,automation grade,semi-automatic,automation grade,"""semi-automatic",capacity,"100 kg/hr,",body material,ss,phase,single phase,phase,single phase,voltage,230,production capacity,100 kg/hr,,,voltage,230 v,,,,,,,,,,,,,,,,
semi-automatic ss 316 metal recovery plant,2,3,automation grade,semi-automatic,automation grade,"""semi automatic",material grade,ss 316,body material,ss,,,material to be extruded,metal,,,,,,,,,,,,,,,,,,,,,,,,
"semi-automatic ss wire extruder, capacity: 10 tpd, voltage: 440 v, phase: 1 phase",4,5,automation grade,semi-automatic,automation grade,"""semi automatic",capacity,"10 tpd,",body material,ss,material,ss,capacity,10 tpd,phase,1,phase,1 phase,,,voltage,440 v,,,,,,,,,,,,,,,,
"semi-automatic stainless steel lab extruder, capacity: 250 kg/hr, voltage: 480 v, phase: single phase",6,5,automation grade,semi-automatic,automation grade,"""semi-automatic",capacity,"250 kg/hr,",body material,stainless steel,material,stainless steel,phase,single phase,phase,single phase,production capacity,250 kg/hr,type,"extruder,",voltage,480 v,usage,lab,,,,,,,,,,,,,,
"semi-automatic stainless steel solid phase extraction system, capacity: 100 liter, voltage: 415 v, phase: 1 phase",4,5,1 phase,phase,automation grade,"""semi-automatic",automation grade,semi-automatic,body material,stainless steel,capacity,100,capacity,100 l,material,stainless steel,phase,1 phase,,,voltage,415 v,,,,,,,,,,,,,,,,
"semi-automatic titanium single die extruder, capacity: 100 tpd, voltage: 480 v, phase: 3 phase",3,6,automation grade,semi-automatic,automation grade,"""semi-automatic",material,titanium,body material,pp,phase,3 phase,capacity,100 tpd,,,die,single die,,,phase,3 phase,,,voltage,480 v,,,,,,,,,,,,
semi-automatic tube extrusion machine,1,2,automation grade,semi-automatic,automation grade,"""semi-automatic",,,machine type,tube extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic tube extrusion machine,1,2,automation grade,semi-automatic,automation grade,"""semi-automatic",,,machine type,tube extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic tube extrusion machine,1,2,automation grade,semi-automatic,automation grade,"""semi-automatic",,,machine type,tube extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic tube extrusion machine,1,2,automation grade,semi-automatic,automation grade,"""semi-automatic",,,machine type,tube extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic twin screw extruder,2,3,automation grade,semi-automatic,automation grade,"""semi automatic",type,screw extruder,screw design,twin screw,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
semi-automatic wpc extruder 220 v,4,2,automation grade,semi-automatic,automation grade,"""semi automatic",material,wpc,voltage,220 v,type,extruder,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,
"sheet extruder - co-rotating design, 50 kg/hr output, 415 v, three phase, ss 304 construction, prism brand, manual operation",3,5,automation grade,manual,automation grade,manual,brand,prism,material grade,ss 304,capacity,50 kg/hr,phase,three phase,,,production capacity,"""50 kg/hr",,,voltage,415 v,,,,,,,,,,,,,,,,
"sheet extruder - twin screw design, 10 ton output, 415 v, three phase, stainless steel construction, unique brand, semi-automatic operation",5,6,automation grade,semi-automatic,automation grade,semi-automatic,brand,unique,body material,stainless steel,capacity,10 ton,phase,three phase,material,stainless steel,screw design,"""twin screw",model name/number,sheet extruder,voltage,415 v,,,weight,10 ton,,,,,,,,,,,,
sheet extruder 10 kw motor 750 kg/hr,2,2,capacity,750 kg/hr,motor power,"""10 kw",type,extruder,production capacity,750 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder 230 v 1 phase,2,3,phase,1 phase,phase,1 phase,voltage,230 v,product type,sheet,,,voltage,"""230 v",,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder 240 v single phase,2,3,phase,single phase,phase,single phase,voltage,240 v,product type,sheet,,,voltage,"""240 v",,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder for wire & cable,2,3,type,extruder,extruder,extruder,usage,wire,output shape,sheet,,,usage/application,wire & cable,,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder with 20 hp power 380 v,3,3,motor power,20 hp,motor power,20 hp,type,sheet extruder,output shape,sheet,voltage,380 v,voltage (v),380 v,,,,,,,,,,,,,,,,,,,,,,,,
sheet extruder with 5 hp power 440 v,3,3,motor power,5 hp,motor power,"""5 hp",type,sheet extruder,output shape,sheet,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
silver refinery machine,2,2,melting material,silver,metal,silver,type,refinery,usage/application,silver refining plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver refinery machine co-rotating design 10 kg/hr,1,3,capacity,10 kg/hr,metal,silver,,,production capacity,"""10 kg/hr",,,screw design,co rotating,,,,,,,,,,,,,,,,,,,,,,,,
silver refinery machine for packaging,2,2,machine name,silver refinery machine,application,packaging,usage,packaging,metal,"""silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver refinery machine for packaging 5 kg,3,3,capacity,5 kg,capacity(kg),5 kg,machine name,silver refinery machine,metal,"""silver",usage,packaging,product type,machine,,,,,,,,,,,,,,,,,,,,,,,,
"silver refining plant - parallel design, 30 kg output, 240 v, three phase, ss 304 construction, laxmi brand, semi-automatic operation",2,7,automation grade,semi-automatic,automation grade,semi-automatic,brand,laxmi,brand,laxmi,,,capacity(kg),30 kg,,,material grade,ss 304,,,phase,three phase,,,usage/application,"""silver refining plant",,,voltage,240 v,,,,,,,,
silver refining plant 240 v,3,2,refining material,silver,usage/application,silver refining plant,type,refining plant,voltage,"""240 v",voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,
silver refining plant 415 v,3,2,refining material,silver,usage/application,"""silver refining plant",type,refining plant,voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,,,
silver refining plant single screw design 25 kg/hr,1,3,capacity,25 kg/hr,phase,single,,,production capacity,25 kg/hr,,,usage/application,"""silver refining plant",,,,,,,,,,,,,,,,,,,,,,,,
silver refining plant with 10 kw power 380 v,4,3,power,10 kw,power,10 kw,refining material,silver,usage/application,"""silver refining plant",type,refining plant,voltage (v),380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,
"single die extruder - turbo make, 50 kg, mild steel, 1 phase",3,3,brand,turbo,body material,mild steel,material,"mild steel,",capacity(kg),"""50 kg",phase,1 phase,phase,1 phase,,,,,,,,,,,,,,,,,,,,,,,,
single die extruder 230 v 60 hz,4,3,frequency,60 hz,die,single die,number of dies,single die,frequency,60 hz,type,extruder,voltage,"""230 v",voltage,230 v,,,,,,,,,,,,,,,,,,,,,,
single die extruder 440 v 1 phase,4,3,number of dies,single die,die,die,phase,1 phase,phase,single phase,type,extruder,voltage,"""440 v",voltage,440 v,,,,,,,,,,,,,,,,,,,,,,
single die extruder for pharmaceutical,3,2,number of dies,single die,die,"""single die",type,extruder,usage/application,pharmaceutical industry,usage,pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,
"single die extruder for plastic processing use, 250 kg/hr, 440 v, mahindra brand",4,4,brand,mahindra,material to be extruded,plastic,capacity,"250 kg/hr,",production capacity,250 kg/hr,number of dies,single die,type,"""single die",usage,plastic processing,voltage,440 v,,,,,,,,,,,,,,,,,,,,
single die extruder twin screw design 200 kg/hr,2,3,capacity,200 kg/hr,die type,"""single die",number of dies,single die,production capacity,200 kg/hr,,,screw design,twin screw,,,,,,,,,,,,,,,,,,,,,,,,
single die extruder with 3 hp power 380 v,4,3,motor power,3 hp,die type,single die,number of dies,single die,motor power,"""3 hp",type,extruder,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,
single screw aluminium extrusion plant 50 kg fully automatic 400 v,4,5,automation grade,automatic,automation grade,fully automatic,capacity,50 kg,capacity,50 kg,material,aluminium,material to be extruded,aluminium,voltage,400 v,screw design,"""single screw",,,voltage,400 v,,,,,,,,,,,,,,,,
single screw aluminium extrusion plant 750 kg/hr manual 230 v,4,5,automation grade,manual,automation grade,manual,capacity,750 kg/hr,material to be extruded,aluminium,material,aluminium,production capacity,750 kg/hr,voltage,230 v,screw type,"""single screw",,,voltage,230 v,,,,,,,,,,,,,,,,
single screw double die extruder 30 kg fully automatic 400 v,3,2,automation grade,automatic,automation grade,fully automatic,capacity,30 kg,voltage,"""400 v",voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,
single screw oleoresin extraction plant 5 kg fully automatic 220 v,2,3,capacity,5 kg,automation grade,fully automatic,voltage,220 v,capacity(kg),"""5 kg",,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,
single screw silver refinery machine 5 kg automatic 480 v,4,5,automation grade,automatic,automation grade,automatic,capacity,5 kg,capacity(kg),5 kg,screw type,single screw,metal,silver,voltage,480 v,screw type,"""single screw",,,voltage (v),480 v,,,,,,,,,,,,,,,,
solid phase extraction system,1,0,product,extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"solid phase extraction system - laxmi make, 250 kg/hr, stainless steel, single phase",3,3,brand,laxmi,body material,stainless steel,capacity,"250 kg/hr,",phase,single phase,phase,single phase,production capacity,"""250 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,
