Key,Value
Frequency,230V
Capacity Range,230V
Size,230V
Capacity,3HP
Incomer Supply,Single Phase
Model,MT2213
Model No.,Any type
Usage,ALL PURPOSE
deals in,new only
Frame Size,F
Power,As Per Design
Power,Customized
Number of Poles,na
Length,any
Power,customised
Size,Variable
Structure,ALL TYPE
Speed,Customised
Brand,Customised
Brand,Superb
Torque,customizable
Rated Power,ALL Ranges
Shape,All
Length,Standard
Design Type,Customized
Features,Many
Color,Customisable
Packaging Type,Fine
Brand,All Brands
Thickness,Standard
Flow Rate,Customised
Shaft Diameter,Standard and Customizable
Magnet Force,best
Test Pressure,As per requirement
Number of Poles,Customized
Connector Wire Length,as per model
Surface,Fine finish
Input shaft Standard,STD
Size/Dimension,All
Body Material,na
Usage/Application,HIGH PRECISION
Speed,3000rpm
Motor Horsepower,2 - 5 HP
Voltage,24VDC
Speed,900-2800 RPM
Speed,140RPM
Material,Steel And Aluminium
Motor Voltage,24 V DC
Speed,"2000-6000 RPM, <2000 RPM,>14000 RPM, 6001-10000 RPM, 10001-14000 RPM"
Speed,RPM
Brand,"MURAT, LGF, YILMAZ,URBAN"
Driving Type,AC
Brand,HEBEM
Brand,SMC
Power,"0.5 HP/0.37 kW at 3 Dia, 415V, 50Hz"
Voltage,Voltage from 115 V to 690 V at 50 Hz and 60 Hz are available.
Mounting Type,"Without limitation,motors can be mounted in any position."
Model Name/Number,ALL MODEL POWER TOOLS
Model Name/Number,STA63
Brand,Factory Authorized Parts
Brand,Simotics
Voltage,Up to 650 V
Brand,Agrostar
Torque,0.41-0.60 mNm
Voltage,380 to 690 V
Ambient Temperature,50 Degree C
Speed,2.4 rpm
Model Name/Number,Asco Numatics Actuators - Rotary Actuators
Warranty,Yes
Brand,Laxson
Power,0.37-350 KW
Mounting,Uses the basic principles of speed reduction to increase torque or force.
Motor Type,LEROY SOMER
Brand,MARATHON EXPLOSION
Power Rating,75 KW
Brand,50 HP
Starter Type,"MF, MK, MU & MB"
Model Name/Number,MK1
Brand,Armature 3 Splines
Weight,HC-SFS102 Mitsubishi Servo Motor
Speed,Different RPM available
Speed,1440 / 2800
Motor Voltage,230 V AC
Speed,10 - 12 meter / min
Motor Brand,Mix India
Phase,single /three
Usage/Application,Tower Fan Motor
Power,0.5 HP to 15 HP
Brand,SGI
Brand,SEES
Brand,Ashok and star mahendra
Mounting,"Foot, Flange."
Usage/Application,For Automotive
Brand,SMI
Voltage,110 - 220 V
Ambient Temperature,60 degree c
Brand,EASYGRIND
Maximum Weight Per Leaf,100 kg to 3000 kg
Brand,Vidani
Maximum Output Pressure,15 Bar
Model Name/Number,230NC2
Mounting Type,Wall Mounted
Usage/Application,Exhaust Fan
Speed,1250 RPM
Brand,Ravi
Brand,branded
Usage/Application,Ceiling Fan
Torque,0.21-0.40 mNm
Voltage,230-380 V
Power,5.56kw
Model Name/Number,PSE/ PSR/PSTX
Voltage,690V
Motor Voltage,50 w
Power,0.05-3 kW
Driving Type,Electric
Brand,Mechtex
Compressor Technology,Reciprocating Compressor
Brand,Gennext Control
Motor Brand,sangam
Color,Multi Color
Working Pressure,As per customer requirement
Warranty,NA
Bearing Type,NA
Capacity,Standard
Color,NA
IP Rating,Standard
Frame Size,Standard
Brand,every brand
Brand,Global
Gate Weight Capacity,all
Load Capacity,As per requirement
Brand,Nice
Location,ANY WHERE
Usage/Application,all industries
Work Location,Any
Maximum Length Per Leaf,AS PER CLIENT
Application,All Industries
Packaging,NA
Start Cap,Not require
Running Capacity,N/A
quality,good
Made in India,New Only
Torque,Standard
Model Name/Number,various
Brand,Unique
Ambient Temperature,ANY
Weight,na
Stroke Length,All
Structure,All
Width,Standard
Pressure,All
Type of Bearing,na
Bearing Number,na
Dimension,na
Usage/Application,na
Part Number,na
Power Source,As Per Customer Requirement
Motor Type,As Per Customer Requirement
Model Name/Number,Customized
Motor Type,Customized
Speed,Other
Torque,Other
Current,Other
Motor Type,NA
Torque,As per requirement
Power Source,As per requirement
Motor Type,As per requirement
Type,As per requirement
Type,All available
Motor Type,All available
Type,Customized
Power Source,Customized
Torque,Customized
Holder Size,Standard
Duty Cycle,As per buyer demand
Model Name/Number,as per requirement
Frame Size,ALL
Product Code,N/A
Size,as per customer requirement
Model No,na
NU Gear Box,na
Port Size,NA
Capacity,ANY
Terminal,N/A
Surface Finish,N/A
Features,N/A
Structure,"Butterfly,Control,Ball"
Brand,KIMAX
Brand,Sew Eurodrive
Power Consumption,100kg
Motor Part Type,connection plate
Model Name/Number,Sai Hydraulic Motor Repairing Service
Motor Voltage,Sai Hydraulic Motor Repairing Service
We Repair,Parker Servo Motor Repairing
Ambient Temperature,-20c to +55c
Motor Brand,Ingersoll-Rand
Brand,DENFOSS
Model Name/Number,JJGG09880--2
Brand,Purlin
Structure,Linear Motion
Voltage,180-440V
Power,230 VAC
Power,Up to 30 kW
Model Name/Number,S110
Shutter Size,20/20
Brand,Ural Electro. Russia
IP Rating,54
Speed,0.10 sec/60deg (4.8v)
Speed,"960,1440,2880 Rpm."
Voltage,Rated voltage Less Than Equals To  1000 V
Brand,EarthX
Part Type,back cover
Coil Voltage,360/415
Brand,Rotomatik
Voltage,220/415Vac
Rated Power,1.25-2 hp
Width,"30 inch - 30"""
Brand,Geogravity
Current,100
Speed,600-800 RPM
Type Of Power Source,AC
Brand,SAUER DANFOSS
Brand,KS
Locality Of Residence,Coimbatore
Brand,Karcher
Voltage,110-220 V
Usage/Application,Water Treatment Plant Also Used In Other Industries
Power,110V AC / 220 V AC / 415V AC / 400V AC / 380V AC
Usage/Application,industrial use
Brand,Drainvac
Brand,Gerotor
Voltage,330 V AC
Brand,Renault
Power Source,12V DC
Usage/Application,vacuum Motors
Voltage,200V AC
Brand,Yugandhar Systems
Warranty,As per product
Mounting,NA
Brand,ANG
Brand,Mauli
Model Name/Number,202
Size,As per product
Brand,IC Bauer
Phase,FAN WINDING TOOLS
Stroke Length,50MM TO 400MM
Device Type,STEPPER MOTOR ACTUATOR
Pressure,6000N
Stroke Length,900MM
Device Type,LINEAR ACTUATOR 150MM
Speed,960 / 1440 / 2880
Usage/Application,Bulk Material Handling
Voltage,325 .565 V DC
Usage/Application,Cooler Fan
Power,55 Watt
Motor Voltage,180-240 Volt
Power,DIESEL
Mounting,Flange Mounted
Brand,PECO STARTER
Phase,"Single,Three Phase"
Brand,VACPAC
Brand,Sai
Motor Type,ac induction motors
Model Name/Number,BURNER SERVOMOTOR
Speed,750-2800
Brand,KINCO
Model Name/Number,ATS22C48Q
Power,90-160 kW
Power,25-1500W
Mounting,"Foot,Flange,etc"
Power,11-22 kW
Brand,SANYO DENKI
Power,4-15kW
Brand,Fullon
Power/Voltage,240V AC
Model Name/Number,DRC1
Voltage,220V/415V
Mounting Type,FOOT / FLANGE / FACE / FOOT CUM FLANGE
Voltage,2.79V
Mounting,Floor Mount
Voltage,690 V
Speed,1.5 - 500 RPM
Power,0.37K-15KW
Speed,0.1-500 RPM
Brand,IC Bauer/Bauer Germany
Brand,Krishi Darshan
Brand,protectron
Motor Part Type,MOTOR BODY SET
Power,"63,71,80,90"
Mounting,FOOT MOUNTED AND FLANGE TYPE GEAR MOTOR
Phase,Three Phase and Single Phase
Voltage,230 V/400 V
Model Name/Number,DRS71S4
Phase,All
Type Of Motor,"AC,DC"
Torque,87 Kg-cm/8.7 Nm.
Brand,Yugandhar Systems.
Max Air Flow,6 KG/CM2
Phase,1 + 3
Voltage,11000
Brand,Navstar
Brand,bks
Brand,BIBUS
Voltage,3~380-500V
Power,0.5-400Hp
Rated Power,50 hp
Power,0.37Kw To 375 Kw
Device Type,HIGH SPEED LINEAR ACTUATOR
Model Name/Number,2
Brand,HEE
Model Name/Number,HE 202
Switch Type,Shutter Timer Switch
Brand,TechTantra Automation
Voltage,230 V/415 V
Model Name/Number,Bonfiglioli make  inline hdlical gearmotors
Power,0.5-75 kW
Output Torque,260
Voltage,24-48 V
Phase,1 Phase/ 3 Phase
Voltage,420-440 Volt
Brand,Ambison
Current,6-32 A
Power,7.5 kW to 1200 kW
Current,23 - 1600 A
Mounting,Universal Mounting
Brand,Terahoc
Input Pressure,AS PER REQUIREMENT
Brand,Viral Engineers
Speed,Max 7000(RPM)
Power,15KW
Voltage,230 - 440 V
Usage/Application,Bag Closing Machine
Brand,Agromation
Brush Top,N/A
Coil Voltage,N/A
Current,As per Requirement
Frame Size,As Required
Input Pressure,NA
Bevels,N/A
Single Phase Servo Pack Model,as per requirement
Three Phase Servo Pack Model,as per requirement
Retracted Length,As per buyer demand
Insulation Class,ALL
No Of Poles,ALL
Maximum Overhung Load,N/A
Enclosure,Customized
Frame Material,Customized
Starter Type,Standard
Number Of Poles,Standard
Insulation Class,Standard
Port Size,standard
Horsepower,Custom
Speed,Custom
Issue Type,ANY
Type Of Problem/Issue,ANY
Starter Type,STD
Color,STD
Features,STD
Bevels,STD
Start Cap,NA
Run Capacitor,NA
Frequency,normal
Shutter Size,normal
Power (Watts or H.P.),1 HP
Motor Speed,1000 RPM
Application,Automotive
Finish,Coated
Application,Autoparts
Motor Horse Power,2 HP
Thickness,10mm
Chassis Material,Mild Steel
Output Speed,1440 RPM
Actuators Type,Hydraulic
Max Lifting Height,1000 kg
Power,0.16 KW
Power,0.26 KW
Rated Power,7.5 kW
No Load Speed,960 RPM
Power (Watts or HP),5HP
Application,Robot
Usage/Application,Automotive
Weightlifting Capacity,3000 Kg
Material Type,Slot
Speed (RPM),1200 RPM
Finishing,Polished
Motor Horsepower,1 HP
Material,Fiberglass
Efficiency,IE1
Capacity,3 HP
Motor Power,3 HP
Mounting Type,Foot cum Flange Mount
Voltage,220v & 415 V
Voltage,"4V,7V,9V,12V,24V"
Voltage,12 V/24 V
Material,Copper and Iron
Voltage,Single phase/Three Phase- 220V
IP Rating,IP44 / IP55
Application,"Industrial,agriculture,home"
Usage,Generator
Speed,1501-2000 RPM
Stroke Length,"6"""
Phase,2/3 PHASE
Cooler Body Material,Copper And Aluminium
Frequency,"50 Hz,60 Hz"
Brand,"Oriental, Delta, Mitsubishi"
Mounting,"Foot,Flange,Foot cum Flange"
Usage,Electric Motor
Usage,Slip ring Applications
Mounting,"Foot,Flange,Foot cum flange,Face mounting"
Energy Efficiency Grade,"IE2,IE3"
No Of Phase,2/3
Material,Aluminium / Cast Iron
No Of Poles,"2, 4, 6, 8"
Frequency,50 Hz/ 60 Hz
Mounting,Flange / Foot
Usage/Application,"Designed for on-off or modulating control of quarter-turn Ball, Butterfly, Plug Valves or Dampers."
Mounting Type,Flange / Face/ Foot
Power,Three phase and single phase
Mounting Type,FOOT  AND FLANGE
Material,"Brass, Gun Metal, Phosphor Bronze, Steel Metal"
Maximum Flow Rate,Customised
Range,N/A
Max Flow Rate,na
Engine Horsepower,na
Engine Type,na
Head,na
Input Phase,NA
Torque,NA
Pressure,AS PER CLIENT REQUIREMENT
Power,AS PER CLIENT REQUIREMENT
Features,as per requirement
Starter Type,as per requirement
Accessories,Customised
Motor Type,AS REQUIRED
Current,AS REQUIRED
DC Brake,as per requirement
Contact Gap,as per requirement
Electromagnetic Brake Voltage Or Frequency Or Current Or Input,as per requirement
Body Enclosure,as per requirement
Electromagnetic Brake Static Friction Torque Motor Shaft,as per requirement
Size,All
Running Capacity,All
Dimensions,All
Suitable For,All
Head Shape,customised
Packaging Type,customised
Dimensions,customised
Accuracy,Excellent
Body Material,Excellent
Max Output Power,STD
No Load Speed,STD
Max Air Flow,STD
Torque At Max Speed,STD
Motor Speed,100 RPM
Speed,600 rpm
No. of Poles,8
Mounting Type,Foot cum Face
Voltage,6 kV
Motor Voltage,240 V
Area,3HP
Maximum Torque,6000N
Current Rating (Amps),32 Amp
Power,0.66 KW
Power,0.38 KW
Blade Size,6 inch
Weightlifting Capacity,4000 Kg
Capacity,1.5 Ton
AC Ton Capacity,1 ton
Operating Voltage,"230/460V-60Hz,575V/60hz,380V/50Hz,220V/60Hz,690V/60Hz"
Speed,"3000  RPM,1500 RPM,960 RPM,750 RPM"
Mounting Type,Foot Flange and Foot Cum Flange
Power Source,"24V , 48V , 98V , 120V"
Usage/Application,"BALL VALVE , BUTTERFLY VALVE AND OTHER ROTERY TYPE VALVES"
No of Poles,5
Number Of Poles,"2,4,6,8"
Number Of Poles,2/4/2006
No of Poles,3
Phase,SINGLE PHASE AND THREE PHASE
Mounting Type,"Foot Mounted,Foot with C Flange,Footless C Flange"
Mounting Type,Foot for Single Phase and FOOT/FLANGE FOR Three Phase.
Frequency(hertz),"50Hz, 60Hz"
No Of Poles,"2, 3, 4, 5"
Number Of Poles,2/4/6/8
Rated Voltage,"DC2.5,3V,4.5V,6.0V,12V,24V"
Type of switch,"Push, Pull, Rotary,Linear"
No. of Poles.,"2, 4, 2006"
Mounting Type,"Foot(B3), Flange(B5)"
Phase,2 Phase
Brush Top,Pad
Terminal,Tube
Item Weight,110 Kg
Count of sticks per hour,13000 Stroke Per Hour
Brand,Anubhuti
Certification,CE
Diameter of Stick,Less than 2 mm
Production Capacity,80 kg. /8 Hr.
Type of Stick,Round
No of Poles,6
Material,Alluminium Allyos LM-6
No Of Poles,"4 Pole,6 Pole"
Voltage,"180,220"
Application,Laboratory
Voltage,220V~50Hz
Brand,Corona
Type,Low Voltage
Insulation Type,Class B
Application,"Boilers,Air Compressor,Hydraulic equipment etc"
Machine Speed,225 Stroke Per Min
Brand,Vijay Gear
Application,Blower  Pump Pulverisizing Rice Mills
Brand,Electrex
Mounting Type,Foot / Flange / Foot Cum Flange
Port Size,"1/2"" TO 1"""
No Of Poles,"2,4,6,8"
No Of Poles,"2,4,6,8,10"
Voltage,"280-440V  , 140-220 V"
Material,"Aluminium, Cast Iron and Steel"
Shaft Diameter,1/2 inch
Portable,Yes
Condition,New
Number of Poles,4 Pole
Automation Grade,Manual
Usage/Application,Concrete Vibrator
Model Number,AI75GPD
Motor,Crompton/ Greaves
Frequency,50 Hz or 60 Hz
Body,C-I casting body
Usage,Mining
Product Type,Multi Turn Electrical Atuator
Usage,Agriculture
Usage,Irrigation
Usage,As per suitable
Insulation Class,Type B
Power,250 TO 750 WATT
Mounting Type,Face/ Foot/ Flange Mount
Output Power,60 HP
Current,AS PER STANDARD
Voltage,12 VDC TO 48 VDC
Frequency Hertz,50 Hz
Model Number,NK-PCB 80K Spindle
Voltage,>250 V
Mounting,"B3, B5, B14 & B35"
Torque up to,6Nm
Shaft Diameter,AS PER IEC STD.
Brand,GLOBE SCOTT
Packaging Type,Carton Box
Shaft Diameter,5/8 inch
Frequency,50/60 Hz
Length,32 mm
Pressure,Low Pressure
Power,0.13 Kw to 7.5Kw
Number of Poles,6 Pole
Shaft Diameter,5/16 inch
RPM,900
Model Number,STA-63
Brand,Skynet
Shaft Diameter,7/8 inch
Shaft Diameter,1/4 inch
Insulation Type,Class H
Number of Poles,2 Pole
IP Rating,IP20 or IP66
Material,CRCA
Actuator Type,Valve Actuator
Usage,Construction
Brand,REDICON POWERBUILD LTD
Size,All Size Valve
Frame Size,90
Application,Wind Turbine Use Carbon Brush
Grade,M145E
Ambient Temperature,60 Centigrade
Motor Voltage,415+-10%Volts  / 50Hz+-5%
Bevels,Metal
Output Power,0.37-7.5 kW
warrenty,1 year
Color,BLUE
Operating Voltage,"230/460V-60Hz,575V/60hz,380V/50Hz,220V/60Hz,4160V/60Hz"
Enclosure,Totally Enclosed Fan Cooled / Totally Enclosed Non-Ventilated
Supply,"Direct Online (DOL),Varibale Frequency Drive (VFD/VSD)"
Winding Insulation,"Class F,temperature rise Class B"
No.of Poles,2 Pole to 12 Poles
Cooling,Totally Enclosed Fan Cooled (IC411)/ Totally Enclosed Blower Cooled (IC416)
Drain Holes,"Standard,Open on delivery"
Bearings,Anti Friction or Sleeve Bearings
Winding protection,"RTD (PT100),6 pieces"
Winding Insulation,"Class F,temperature rise Class B on lower side"
Enclosure,"TEFC,TENV,TEBC"
Application,"Continuous operation of Pumps,Mixers,Agitators,Conveyors,Compressors,Oil Drilling Pumps"
Full load efficiency,Exceeds IE3 and  in Some cases Exceeds IE4
Frame size,"56 to  449T,5000 and  5800 Frame"
Degree of Protection,"IP44,IP55,IP56"
Operating Frequency,50 Hertz / 60 Hertz
Motor Type,Rib Cooled Squirrel Cage Three phase Induction Motors
Operating Speed,Fixed/ Variable Speed
Mounting,Horizontal Mounting / Vertical Mounting
Enclosure,Totally Enclosed Fan Cooled
Degree of Protection,IP 55 as standard
Operating Environment,Safe Area
Lubrication,Permanantly lubricated shielded bearing with H1 grease
Frame size,56 to 286
Fan,Nylon fan for 100 mm frame only
Operating Voltage,400 Volts
Bearings,Axially locked bearings
Efficiency,IE3 as standard Efficiency
Application,Food and beverage -  High sanitary applications
Material,"Stator frame - Stainless steel,Rotor - Die cast Aluminium,Terminal box - Stainles steel"
Mounting Type,Footless / Foot Mounted
Degree of Protection,IP69K Ingress Protection
Certification,"UL Listed,CSA"
Frame sizes,315 to 500 mm
Brand,Adept Motors
Insulation Type,Class F
Brand,Impulse
Power,0.25 to 2 HP
Insulation Type,Class F at 175 deg C
Power,0.25 HP to 2 HP
Brand,MBC
Type,Self Excited-Series
Type,Self Excited-Compound
Brand,SRI
Body Material,Aluminium casting
No Of Poles,2/4/2006
Insulation Type,Class A
Insulation Type,Class E
Brand,"Bharat Bijlee, Crompton, ABB,SIEMENS"
Brush Top,Clip
Grade,M15E BE22
Application,Holder
Voltage,220V AC
Terminal,Flag
IP Rating,IP55 & 65
No of Poles,10
Application,"Continuous operation Mixers,Winders,Test Stands,Extruders,Conveyors,Oil Drilling Pumps"
Enclosure,"TEFC,TENV,TEBC,DPG-FV"
Degree of Protection,"IP23,IP44,IP55,IP56"
Certification,"UL  Recognition,CSA,CSAus,CE Marking"
Winding Insulation,"Class H,temperature rise Class B or F or H"
Frame size,"56 to  449T,5800 Frames,Equivalent IEC Frames Available"
Speed (RPM),1500 RPM TO 3000 RPM
Current,1.5 A
Brand,Suntronic Control
Motor Brand,Ayan
Type,Reversible / Non Reversible
Size,22 x 11.5 x 27 mm
Brand,ROTOMOTIVE ITALIAN BRAND
Mounting Type,Pad Mount
Brand,prasad automation
Brand,SPEEDO
Brake Rating,<10 ft-lb
Duty Cycle,s1 s2
Size,10 mm
Displacement,200 cc/ rev
Pressure,16 Bar
Power range,2 kw - 3 kw
Motor Power,2HP
Rated Speed,960 RPM
Size,6inch
Type,Torque Stepper Motor
Capacity,400 Bags/Hour
Power,"0.25Hp, 0.5Hp, 1Hp"
Horsepower,100-1000 HP
Diameter,12 mm
Capacity,16L
Diameter,10 mm
Starting Method,Direct On-Line
Motor Speed,4000 RPM
Rated Speed,8000 RPM
Type,Unipolar Stepper Motor
Motor Speed,20 RPM
Capacity(Ton),20 Ton
Power,19 KW
Ports,24 Ports
Printing Width,3500 mm
Device Type,Switch
No. of axis,3-axis
Flow Rate,20 LPM
Chemical Formula,"Helical, Worm, Bevel"
Brand,TAMAGAWA
Material,"Carbon, Copper"
Diameter,18 mm
Working Mode,Single acting
Usage,Power Tools
Drilling Diameter,13 mm
Material,LM6
Material of construction,Aluminium
Voltage,110V
Actuators Type,Hydraulic Actuators
Type of Induction Motors,High Efficiency Induction Motors
Model Name/Number,KV - E2H
Type,Permanent Magnet Stepper Motor
Length,20 mm
Displacement,800 cc/rev
Usage,Rotary Hammer
Rated Speed,2000 RPM
Discharge,10 LPM
Actuators Type,Electromagnetic Actuators
Load Capacity,4000 N
Pressure,0.3 MPa
Material of construction,C.I. and Alluminium
Diameter,8 mm
Material,Polyester
Output Capacity,30 meter cubes/hr
Weight Capacity,1000
Rated Speed,6000 RPM
Material,Aluminium Alloy
Length,2.6 inch
Power,<50 W
Voltage,415V +- 10%
Speed,2800rpm
Power,20 W- 3 HP
Power,18Watt to 1400Watt
Voltage,"12 VDC, 24VDC, 48VDC, 180VDC"
Voltage,"12V, 24V, 48V, 90V, 180V"
Grade,Copper Graphite
Power,85 KgCm
Voltage,18 v - 80 v
Voltage,180 to 500 V Depending on Rating
Voltage,24V AC
Voltage,180 VDC
Rated Voltage,11/12 KV
Voltage,Available from 1.5V to 10 volts
Voltage,12VDC to 230VDC
Power,3.0 HP
Voltage,DC 12V
Voltage,4.8 V a 7.2 V
Voltage,5V DC
Power,220 VA
Torque,0.1 Nm
Size,15mm-500mm
Voltage,12 to 240 V DC
Voltage,3.9V
Length,4.0 inch
Capacity,1hp to 1.5hp
Rated Speed,Standered
Material of construction,"Cast iron,Aluminium"
No. of Teeth,20 teeth
Usage/Application,"Used in robotics,student projects and other applications"
Voltage,115 VAC
Model Name/Number,B12
Torque,<0.20 mNm
Frame,90 S
Motor Type,3 Phase
Brand,Halcyon Motors Company
Mounting Type,"Foot ,Flange and Foot Cum Flange"
Opening Style,Swing
Current,40 Amps
Model Name/Number,GSM-37
Power Source,VDC
Starter Type,Dry Button Type
Rated Power,1  HP
Ambient Temperature,-20 to 120 Degree C
Current,150 A
Ambient Temperature,60/50 Hz
Brand,CentIoT
Voltage,110-220V
Model Name/Number,43MRWH3009
Brand,LOHER
Voltage,230/460V
Ambient Temperature,40C
Brand,BALDOR
Model Name/Number,NR24A-SR Rotary Actuator
Rated Power,0.5-20
Mounting,Face mount
Voltage,230-415VAC
Speed,7.5 TO 100 RATIO
Type,Modular Squirrel Cage
Power Rating,101-200 KW
Power,O.5 HP  TO     1000 HP
Power,0.37 - 10 KW
Brand,Arihant Sales Corporation
Brand,Chint
Model Name/Number,NJR2-T
Mounting Type,Foot & flange  mounting
Usage/Application,Gantry
Size,Armature 12 Splines
Brand,MM Despro Engineering
Mounting,Foot And Flange
Speed,Yes
Power,Upto 1000 KW
Brand,lhp
Ambient Temperature,"50 Degree Celsius, Class F Insulation with temperature rise limited to class B"
Voltage,280-415 V
Speed,100-1000 RPM
Brand,Hascon
Model Name/Number,SGK-1
Brand,SGI2
Brand,Anand Motor
Brand,Carrier
Color,Brown
Width,1:10
Power,320 W
Brand,Dawk
Starter Type,Mobile starter
Voltage,440volt
Material,"Electro Graphite, Metal Graphite, Natural Graphite, Resin Bounded Graphite and all"
Brand,Magnum
Current Type,AC
Brand,Marathan
Power,200 KW
Holder Size,65x50x25 mm
Power Consumption,10 HP
Speed,300 rpm to 5 rpm out put speed
Brand,AEC
Model Name/Number,MCRB-20-G
Brand,KBS
Motor Voltage,220-240
Model Name/Number,AC SERVO DRIVE & MOTOR
Capacity,3.0 F/440V
Brand,Alibaba
Input Phase,3
Brand,A BOND
Current,32 Amp
Usage/Application,DIMMER AND ELECTRIC MACHINE
Model Name/Number,ML7420A8088-E
Power,4HP-30HP
Brand,Ingersoll Rand
Ambient Temperature,150 Deg C
Number Of Jars,2
Capacity,1
Brand,Cool FLow ELectricals
Brand,Satyam Industries
Mounting Type,Direct
Model Name/Number,CAIR-MOD-MOD-QT-HOD
Motor Voltage,Hydraulic
Model Name/Number,C2
Brand,SMARTPACK
Model Name/Number,CMDV 55S
Model Name/Number,DR63M
Torque,0.16 Nm - 48 Nm
Cooler Type,Evaporator
Model Name/Number,KCQ350SA
Speed,"1440,2800 RPM"
Voltage,12 to 180V DC
Voltage,12 to 220 V
Voltage,20VAC to 50VAC
Power,0.24 HP/180 W
Voltage,24V/48V/180V
Voltage,380 V AC
Voltage,&lt;100 V
Voltage,DC 24V
Voltage,Per Phase 3.3V
Voltage,340V
Voltage,Phase Voltage 3.2 V
Voltage,48VDC
Voltage,4.8V - 6V
Voltage,"12,24,180"
Voltage,All Voltage
Voltage,180 V DC
Voltage,220v DC
Speed,3000 r/min
Usage/Application,jewelery polishing machine
Capacity,2 kg
Phase,1 PHASE AND 3 PHASE
Power,230V/ 415V
Brand,Other JDS
Certification,BSCIC
Speed,940RPM
IP Rating,"IP55, IP65"
Voltage,"220 V,230V"
Max Withstanding Temperature,50 Degree C
Model No.,B114
Type Of The Drum Mixer,Reverse Drum Mixer
Motor Brand,BRIGHT AUTOMATION
Brand,Britech
Model Name/Number,CM SERIES
Starter Type,VFD Starter
Motor Voltage,550/750 Watt
Ambient Temperature,45 Degree Celsius
Starter Type,DOL Starter
Speed,28000 RPM
Pump Type,Rotary Pump
Current,"16A,30A ,40A"
Usage/Application,PCB Drilling and routing
Usage,EMPTYING HOPPER
Type,Involute
Type,wet & Dry
Usage/Application,agricalchar
Motor Horsepower,120psi
Power Source,24 V DC
Brand,indian make
Brand,Gy
Voltage,280V - 340V
Brand,IFB
Speed,800 RPM - 1500 RPM
Brand,cy group
Brand,kasai kit
Brand,Cy
Model No,Star-Ne
Compressor Type,Rotary
Brand,Cropmton Greaves
Power,440Volt
Power Rating,0.5 HP TO 450 HP
Motor Type,TOTALLY ENCLOSED
Motor Part Type,carbon brush for kiln holder
Mounting,FOOT  / FLANGE
Current,10 A
Motor Horsepower,2 HP
Pressure,10 Bar
Brand,Akshar
IP Rating,IP68
Brand,Atek
Model Name/Number,Havells dol starter
Mounting Type,Foot B3 Mouning
Printing Material,Flex Banner
Frame,100 L
Rated Power,15hp/11kW
Ambient Temperature,-45 degree C
Speed,1500/1800 rpm
Voltage,230/440
Brand,Local make
Speed,"300,015,001,000"
No of Poles,2 Pole
Power Source,DC Powered
Control Type,Touch Screen
Motor Voltage,230V to 110 V
Brand,NORD Drive system
Current,10 Amp
Power Source,Hydraulic Drive
Brand,Ecoflame
Usage/Application,Electrical Motor
Material,"Available Carbon, Copper"
Material,COPPER CARBON BRUSH
Material,sliver carbon
Material,egor grade
Length,72MM
Brand,Alliance PowerTools
Brand,Paragon
Type Of Motor,AC and DC Both
Material,Electro Graphite
Brand,Enginex
Model Name/Number,AUTOSWITCH-2.
Power,Electronic
Starter Type,DOL & star/delta
Stroke Length,40 NM TO 2000 NM
Speed,750RPM
Finish,Zinc Plated
Brand,POSITAL
Resolution,320 x 240 Pixels
Current,8 Amp
Usage/Application,"Pump sets at Farms, Rivers, and Wells Supply Voltage 3ph. 200 V- 450V AC Agricultural Pump DOL Start"
Brand,Minilec
Brand,SADMAC
Frame,80 S
Motor Phase,Three Phase
Power Source,0.37 Kw/0.05 HP
Brand,Wam
Current,11 A
Structure,Compact
Brand,BLUE TON
Usage/Application,Refrigeration
Service Location/City,maharashtra
Mode Of Service,Offline
Body Material,Aluminium Alloy
Model Name/Number,ST series actuator with Globe valve
Motor Type,Outer / External Rotor BLDC Motor
Power Source,DC Supply
Brand,Nr controllers
Torque,0.40 mNm
Brand,AFI
Usage/Application,"Servo voltage stablizer, packaging machine"
Number Of Cylinder,2 to 12 cylinder
Motor Voltage,12
Run Type,Dry Run
Brand,"MELODY""S HOBBY"
Brand,Shah Sewing Machine Company
Brand,Radiance
Usage/Application,Air
Brand,Roquet
Brand/Make,Knoxe
Brand,Nishishiba NSDK
Power Rating,25ampere
Power Rating,10.7ampere
Phase Type,220v / 415 v
Brand,Foremost Industrial Products
Brand,EATON-CHARLYNN
Power Source,AC/DC
Brand,LEADSHINE /YAKO
Mounting Type,Foot cum Flange
Model Name/Number,GN-01
Transducer Type,Pressure Transducer
Transducer Type,Active Transducer
Transducer Type,Passive Transducer
Usage/Application,For Paddle Wheel Aerator Motor
Rated Power,100HP
Motor Part Type,"Slipring , commutator"
Material,High quality copper BM51 or BE14Z1
Type Of Motor,Railway traction motor
Brand,Sri Chakra
Length,4 Inch
Current,40 Amp
Brand,"SCHUNK, OMEGA, CROMPTON"
Material,DC MOTOR CARBON BRUSH
Usage/Application,"Motor, Generator"
Material,EG14D / M15E
Voltage,40 V
Usage/Application,For Straping Machine
Brand,ieyze
Pressure,8 Bar
Brand,FRIEDRICH and VIMARC
Phase,Voltage from 115 V to 690 V at 50 Hz and 60 Hz are available.
Speed,5000rpm/min
Model Name/Number,SEW
Speed,960/1440 RPM
Usage/Application,All types
Usage/Application,For machine use
Brand,Avtek
Motor Voltage,180 to 270 v
