Query,Key Match Count,Value Match Count,GT Unique Keys,Gemma Unique Keys,GT Unique Values,Gemma Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemma: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemma Only Keys
electric torque,0,0,0,7,0,2,N/A,N/A,,Electric - power_source | power_supply | power_type | input_power |||| Torque - torque_type | torque_style | output_torque,,,,input power | output torque | power source | power supply | power type | torque style | torque type
electric-actuator,0,0,4,4,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Electric - power_source | power_supply | power_type | input_power,,,application | category | product category | use,input power | power source | power supply | power type
electrical motor,0,1,2,7,1,2,0.0%,100.0%,motor - motor_type | product_type,Electrical - power_source | power_supply | power_type |||| Motor - usage_application | application | usage | suitable_for,,motor,motor type | product type,application | power source | power supply | power type | suitable for | usage | usage application
electrical motor for boats,0,0,2,8,1,2,0.0%,0.0%,motor - motor_type | product_type,Boats - usage_application | application | usage_area | suitable_for |||| Electrical - power_source | power_supply | power_type | power_requirement,,,motor type | product type,application | power requirement | power source | power supply | power type | suitable for | usage application | usage area
electronic components bo moters,2,0,2,8,1,2,100.0%,0.0%,motor - motor_type | product_type,BO MOTERS - brand | company | manufacturer | make |||| Electronic Components - type | motor_type | product_type | device_type,motor type | product type,,,brand | company | device type | make | manufacturer | type
electronic-starter,1,0,4,7,1,1,25.0%,0.0%,starter - application | use |||| starter - product_category | category,Electronic-Starter - power_source | power_supply | power_type |||| Electronic-Starter - usage_application | application | usage | suitable_for,application,,category | product category | use,power source | power supply | power type | suitable for | usage | usage application
eletical motors 40hp,2,0,5,8,2,2,40.0%,0.0%,motor - motor_type | product_type |||| 40 hp - power | horsepower | hp,40HP - horsepower | horse_power | hp | motor_horsepower |||| Electical Motors - power_source | power_supply | power_type | power_requirement,horsepower | hp,,motor type | power | product type,horse power | motor horsepower | power requirement | power source | power supply | power type
external motor rotor die casting,2,0,2,8,1,2,100.0%,0.0%,motor - motor_type | product_type,External Motor Rotor - type | motor_type | product_type | device_type |||| Die Casting - material | body_material | material_type | casing_material,motor type | product type,,,body material | casing material | device type | material | material type | type
extra power breaker 1 power tool armature,0,0,2,11,2,3,0.0%,0.0%,armature - product_category | category |||| power tool - product_category | category,Extra Power - power_source | power_supply | power_type | input_power |||| 1 - number_of_poles | no_of_poles | poles |||| Power Tool Armature - usage_application | application | usage | suitable_for,,,category | product category,application | input power | no of poles | number of poles | poles | power source | power supply | power type | suitable for | usage | usage application
fan motor 25 30 watt,1,0,6,4,3,1,16.7%,0.0%,fan motor - motor_type | product_type |||| 30 w - power | wattage |||| fan - application | use,25 30 Watt - power_source | power_supply | power_type | wattage,wattage,,application | motor type | power | product type | use,power source | power supply | power type
fan-motors,1,0,4,11,2,1,25.0%,0.0%,fan motor - motor_type | product_type |||| fan - application | use,Fan-Motors - power_source | power_supply | power_type | input_power |||| Fan-Motors - number_of_poles | no_of_poles | poles |||| Fan-Motors - usage_application | application | usage | suitable_for,application,,motor type | product type | use,input power | no of poles | number of poles | poles | power source | power supply | power type | suitable for | usage | usage application
fcma soft starter,0,0,4,8,1,2,0.0%,0.0%,starter - application | use |||| starter - product_category | category,FCMA - brand | company | manufacturer | make |||| Soft Starter - type | motor_type | product_type | device_type,,,application | category | product category | use,brand | company | device type | make | manufacturer | motor type | product type | type
fdhhdfh,0,0,0,0,0,0,N/A,N/A,,,,,,
fhp motors,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,FHP - model_number | model_name | model | model_no,,,motor type | product type,model | model name | model no | model number
fireproof motor,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Fireproof - insulation_class | insulation_type | winding_insulation | ambient_temperature,,,motor type | product type,ambient temperature | insulation class | insulation type | winding insulation
flange type 25 hp motor,2,1,5,8,2,2,40.0%,50.0%,motor - motor_type | product_type |||| 25 hp - power | horsepower | hp,25 HP - horsepower | horse_power | hp | motor_horsepower |||| Flange Type - mounting_type | mounting | mounting_style | mounting_method,horsepower | hp,25 hp,motor type | power | product type,horse power | motor horsepower | mounting | mounting method | mounting style | mounting type
fn20c motor,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,FN20C - model_number | model_name | model | model_no,,,motor type | product type,model | model name | model no | model number
foot cum flange mounted electric motor,2,0,4,7,2,2,50.0%,0.0%,motor - motor_type | product_type |||| flange mount - mounting_type | mounting,Foot Cum Flange Mounted - mounting_type | mounting | mounting_style | mounting_method |||| Electric - power_source | power_supply | power_type,mounting | mounting type,,motor type | product type,mounting method | mounting style | power source | power supply | power type
foot mounting 1 piece 1440 rpm Single Phase Motors,6,2,9,14,4,4,66.7%,50.0%,motor - motor_type | product_type |||| single phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,1440 RPM - speed | rpm | motor_speed | rated_speed |||| 1 Piece - number_of_poles | no_of_poles | poles |||| Foot Mounting - mounting_type | mounting | mounting_style | mounting_method |||| Single Phase - phase | phase_type | number_of_phase,mounting | mounting type | phase | rated speed | rpm | speed,1440 rpm | single phase,motor type | product type | supply phase,motor speed | mounting method | mounting style | no of poles | number of phase | number of poles | phase type | poles
fv5029 010,0,0,0,7,0,2,N/A,N/A,,FV5029 - model_number | model_name | model | model_no |||| 010 - model_type | model_category | model_class,,,,model | model category | model class | model name | model no | model number | model type
fv5029-010,0,0,0,4,0,1,N/A,N/A,,FV5029-010 - model_number | model_name | model | model_no,,,,model | model name | model no | model number
gbru 1 min auto switch,0,0,2,10,1,3,0.0%,0.0%,switch - product_category | category,GBRU - brand | company | manufacturer | make |||| Auto - automation_grade | operation_mode | working_mode |||| 1 min - power_source | power_supply | power_type,,,category | product category,automation grade | brand | company | make | manufacturer | operation mode | power source | power supply | power type | working mode
geared motor,0,0,5,11,2,1,0.0%,0.0%,ge - brand | manufacturer | company |||| gear motor - motor_type | product_type,Geared Motor - power_source | power_supply | power_type | input_power |||| Geared Motor - number_of_poles | no_of_poles | poles |||| Geared Motor - usage_application | application | usage | suitable_for,,,brand | company | manufacturer | motor type | product type,application | input power | no of poles | number of poles | poles | power source | power supply | power type | suitable for | usage | usage application
geared motors,0,0,5,6,2,1,0.0%,0.0%,ge - brand | manufacturer | company |||| gear motor - motor_type | product_type,Geared Motors - power_source | power_supply | power_type |||| Geared Motors - automation_grade | operation_mode | working_mode,,,brand | company | manufacturer | motor type | product type,automation grade | operation mode | power source | power supply | power type | working mode
gearmoter,3,0,3,4,1,1,100.0%,0.0%,ge - brand | manufacturer | company,GEARMOTER - brand | company | manufacturer | make,brand | company | manufacturer,,,make
gec 10 hp 960 rpm industrial motors,8,2,11,12,4,3,72.7%,50.0%,ge - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,10 HP - horsepower | horse_power | hp | motor_horsepower |||| 960 RPM - speed | rpm | motor_speed | rated_speed |||| GEC - brand | company | manufacturer | make,brand | company | horsepower | hp | manufacturer | rated speed | rpm | speed,10 hp | 960 rpm,motor type | power | product type,horse power | make | motor horsepower | motor speed
general electric sfk01,3,1,3,8,1,2,100.0%,100.0%,general electric - brand | manufacturer | company,General Electric - brand | company | manufacturer | make |||| SFK01 - model_number | model_name | model | model_no,brand | company | manufacturer,general electric,,make | model | model name | model no | model number
godrej lawkim motor lk 4250,3,1,5,8,2,2,60.0%,50.0%,godrej lawkim - brand | manufacturer | company |||| motor - motor_type | product_type,Godrej Lawkim - brand | company | manufacturer | make |||| LK 4250 - model_number | model_name | model | model_no,brand | company | manufacturer,godrej lawkim,motor type | product type,make | model | model name | model no | model number
gpn gear motor,0,0,2,4,1,1,0.0%,0.0%,gear motor - motor_type | product_type,Gpn - brand | company | manufacturer | make,,,motor type | product type,brand | company | make | manufacturer
grinding-motor,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Grinding-Motor - model_number | model_name | model | model_no,,,motor type | product type,model | model name | model no | model number
gsm mobile starter,0,0,4,6,1,2,0.0%,0.0%,starter - application | use |||| starter - product_category | category,GSM - power_source | power_supply | power_type |||| Mobile - starter_type | starting_method | starter,,,application | category | product category | use,power source | power supply | power type | starter | starter type | starting method
happymodel motor,0,0,5,4,1,1,0.0%,0.0%,motor - motor_type | product_type |||| motor - model_number | part_number | model,Happymodel - brand | company | manufacturer | make,,,model | model number | motor type | part number | product type,brand | company | make | manufacturer
havells motor,3,1,5,4,2,1,60.0%,50.0%,havells - brand | manufacturer | company |||| motor - motor_type | product_type,Havells - brand | company | manufacturer | make,brand | company | manufacturer,havells,motor type | product type,make
havells single phase motor,4,1,7,8,3,2,57.1%,33.3%,havells - brand | manufacturer | company |||| motor - motor_type | product_type |||| single phase - phase | supply_phase,HAVELS - brand | phase | company | phase_type | manufacturer | number_of_phase | make | input_phase,brand | company | manufacturer | phase,single phase,motor type | product type | supply phase,input phase | make | number of phase | phase type
helical gear motor,2,0,2,4,1,1,100.0%,0.0%,gear motor - motor_type | product_type,Helical Gear Motor - type | motor_type | product_type | device_type,motor type | product type,,,device type | type
helical geared motor 2hp,4,0,5,8,2,2,80.0%,0.0%,gear motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2HP - horsepower | horse_power | hp | motor_horsepower |||| Helical Geared Motor - type | motor_type | product_type | device_type,horsepower | hp | motor type | product type,,power,device type | horse power | motor horsepower | type
helical geared motor 2hp near hyderabad,1,0,5,12,2,3,20.0%,0.0%,gear motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2HP - power_source | power_supply | power_type | power |||| Helical Geared Motor - model_number | model_name | model | model_no |||| Near Hyderabad - location | usage_location | suitable_for | ambient_temperature,power,,horsepower | hp | motor type | product type,ambient temperature | location | model | model name | model no | model number | power source | power supply | power type | suitable for | usage location
helical-geared-motor,2,0,2,7,1,2,100.0%,0.0%,gear motor - motor_type | product_type,Helical - type | motor_type | product_type | device_type |||| Geared-Motor - number_of_poles | no_of_poles | poles,motor type | product type,,,device type | no of poles | number of poles | poles | type
high power dc motors,0,1,4,7,2,2,0.0%,50.0%,dc motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type |||| High Power - usage_application | application | usage | suitable_for,,dc,current type | motor type | product type | supply type,application | power source | power supply | power type | suitable for | usage | usage application
high power dc water motors for project near badlapur,0,1,4,13,2,4,0.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type |||| Project - usage_application | application | usage | suitable_for |||| High Power - ip_rating | protection_class | degree_of_protection |||| Near Badlapur - ambient_temperature | operating_temperature | temperature_range,,dc,current type | motor type | product type | supply type,ambient temperature | application | degree of protection | ip rating | operating temperature | power source | power supply | power type | protection class | suitable for | temperature range | usage | usage application
high power dc water motors project,0,1,4,11,2,3,0.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type |||| Project - usage_application | application | usage | suitable_for |||| High Power - power | wattage | motor_power | power_rating,,dc,current type | motor type | product type | supply type,application | motor power | power | power rating | power source | power supply | power type | suitable for | usage | usage application | wattage
high power mini dc water motors for project near badlapur,0,1,4,16,2,5,0.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type |||| Project - usage_application | application | usage | suitable_for |||| Mini - size | dimension | frame_size |||| High Power - ip_rating | protection_class | degree_of_protection |||| Near Badlapur - location | area | suitable_for_location,,dc,current type | motor type | product type | supply type,application | area | degree of protection | dimension | frame size | ip rating | location | power source | power supply | power type | protection class | size | suitable for | suitable for location | usage | usage application
high power mini dc water motors project,0,1,4,13,2,4,0.0%,50.0%,motor - motor_type | product_type |||| dc - current_type | supply_type,DC - power_source | power_supply | power_type |||| Project - usage_application | application | usage | suitable_for |||| Mini - size | dimension | frame_size |||| High Power - weight | item_weight | net_weight,,dc,current type | motor type | product type | supply type,application | dimension | frame size | item weight | net weight | power source | power supply | power type | size | suitable for | usage | usage application | weight
hindustan,3,1,3,4,1,1,100.0%,100.0%,hindustan - brand | manufacturer | company,Hindustan - brand | company | manufacturer | make,brand | company | manufacturer,hindustan,,make
hindustan ac motor,5,2,7,8,3,2,71.4%,66.7%,hindustan - brand | manufacturer | company |||| ac motor - motor_type | product_type |||| ac - current_type | supply_type,Hindustan - brand | company | manufacturer | make |||| AC Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,ac motor | hindustan,current type | supply type,device type | make | type
hindustan package,3,1,3,8,1,2,100.0%,100.0%,hindustan - brand | manufacturer | company,Hindustan - brand | company | manufacturer | make |||| Package - usage_application | application | usage | suitable_for,brand | company | manufacturer,hindustan,,application | make | suitable for | usage | usage application
hollow shaft encoder,0,1,4,4,2,1,0.0%,50.0%,hollow shaft - shaft_type | shaft |||| encoder - product_category | category,Hollow Shaft - type | motor_type | product_type | device_type,,hollow shaft,category | product category | shaft | shaft type,device type | motor type | product type | type
horse power,0,1,2,4,1,1,0.0%,100.0%,horse power - power_unit | unit,Horse Power - horse_power | horse_power_rating | hp | motor_horsepower,,horse power,power unit | unit,horse power | horse power rating | hp | motor horsepower
hyundai/kia clutch actuator,0,0,4,8,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Hyundai/Kia - brand | company | manufacturer | make |||| Clutch Actuator - type | product_type | device_type | usage_application,,,application | category | product category | use,brand | company | device type | make | manufacturer | product type | type | usage application
incubator turning motor,2,0,2,8,1,2,100.0%,0.0%,motor - motor_type | product_type,Turning Motor - type | motor_type | product_type | device_type |||| Incubator - usage_application | application | usage | suitable_for,motor type | product type,,,application | device type | suitable for | type | usage | usage application
induction motor,2,1,2,4,1,1,100.0%,100.0%,induction motor - motor_type | product_type,Induction Motor - type | motor_type | product_type | device_type,motor type | product type,induction motor,,device type | type
industrial-electric-motor,0,0,2,7,1,2,0.0%,0.0%,motor - motor_type | product_type,Industrial-Electric-Motor - power_source | power_supply | power_type |||| Industrial - usage_application | application | usage | suitable_for,,,motor type | product type,application | power source | power supply | power type | suitable for | usage | usage application
inline helical geared motors,2,0,2,8,1,2,100.0%,0.0%,gear motor - motor_type | product_type,Helical Geared Motor - type | motor_type | product_type | device_type |||| Inline - mounting_type | mounting | mounting_style | mounting_method,motor type | product type,,,device type | mounting | mounting method | mounting style | mounting type | type
kapcon simi cooler motor,0,0,4,8,2,2,0.0%,0.0%,cooler motor - motor_type | product_type |||| cooler - application | use,Kapcon - brand | company | manufacturer | make |||| SIMI - model_number | model_name | model | model_no,,,application | motor type | product type | use,brand | company | make | manufacturer | model | model name | model no | model number
kenstar desert air cooler motor,4,1,7,8,3,2,57.1%,33.3%,kenstar - brand | manufacturer | company |||| cooler motor - motor_type | product_type |||| cooler - application | use,Kenstar - brand | company | manufacturer | make |||| Desert - usage_application | application | usage | suitable_for,application | brand | company | manufacturer,kenstar,motor type | product type | use,make | suitable for | usage | usage application
kirloskar 10 hp 1440 rpm original motor,5,3,11,10,4,3,45.5%,75.0%,kirloskar - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 1440 rpm - speed | rpm | rated_speed,10 HP - power_source | power_supply | power_type |||| 1440 RPM - speed | rpm | motor_speed |||| Kirloskar - brand | company | manufacturer | make,brand | company | manufacturer | rpm | speed,10 hp | 1440 rpm | kirloskar,horsepower | hp | motor type | power | product type | rated speed,make | motor speed | power source | power supply | power type
kirloskar electric motor 10 hp 960 rpm,8,2,11,12,4,3,72.7%,50.0%,kirloskar - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,10 HP - horsepower | horse_power | hp | motor_horsepower |||| 960 RPM - speed | rpm | motor_speed | rated_speed |||| Kirloskar Electric Motor - brand | company | manufacturer | make,brand | company | horsepower | hp | manufacturer | rated speed | rpm | speed,10 hp | 960 rpm,motor type | power | product type,horse power | make | motor horsepower | motor speed
kitchen hood motor,0,1,2,8,1,2,0.0%,100.0%,motor - motor_type | product_type,Kitchen - usage_application | application | suitable_for | usage |||| Motor - power_source | power_supply | power_type | power_requirement,,motor,motor type | product type,application | power requirement | power source | power supply | power type | suitable for | usage | usage application
kollmorgen servo motors akm63k-anc2r-00,0,0,2,8,1,2,0.0%,0.0%,servo motor - motor_type | product_type,Kollmorgen - brand | company | manufacturer | make |||| AKM63K-ANC2R-00 - model_number | model_name | model | model_no,,,motor type | product type,brand | company | make | manufacturer | model | model name | model no | model number
l and t mpower pro mobile motor starter,2,0,4,12,2,3,50.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,L & T - brand | company | manufacturer | make |||| Mpower Pro - model_number | model_name | model | model_no |||| Mobile Motor Starter - type | motor_type | product_type | device_type,motor type | product type,,application | use,brand | company | device type | make | manufacturer | model | model name | model no | model number | type
l t mpower pro mobile motor starter,2,0,4,8,2,2,50.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,L T Mpower Pro - brand | company | manufacturer | make |||| Mobile Motor Starter - type | motor_type | product_type | device_type,motor type | product type,,application | use,brand | company | device type | make | manufacturer | type
l&t three phase motor starter,4,2,9,7,4,2,44.4%,50.0%,l&t - brand | manufacturer | company |||| motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,L&T - brand | company | manufacturer | make |||| Three Phase - number_of_phase | phase | number_of_phase | input_phase,brand | company | manufacturer | phase,l&t | three phase,application | motor type | product type | supply phase | use,input phase | make | number of phase
laxmi 3 hp singal fase motors,2,1,5,12,2,3,40.0%,50.0%,motor - motor_type | product_type |||| 3 hp - power | horsepower | hp,3 HP - horsepower | horse_power | hp | motor_horsepower |||| Laxmi - brand | company | manufacturer | make |||| Singal Fase - phase | phase_type | number_of_phase | input_phase,horsepower | hp,3 hp,motor type | power | product type,brand | company | horse power | input phase | make | manufacturer | motor horsepower | number of phase | phase | phase type
leadshine l7 series servo ac servo motor,2,0,4,12,2,3,50.0%,0.0%,servo motor - motor_type | product_type |||| ac - current_type | supply_type,Leadshine - brand | company | manufacturer | make |||| L7 Series - model_number | model_name | model | model_no |||| AC Servo Motor - type | motor_type | product_type | device_type,motor type | product type,,current type | supply type,brand | company | device type | make | manufacturer | model | model name | model no | model number | type
lift-motor,0,0,4,4,2,1,0.0%,0.0%,motor - motor_type | product_type |||| elevator - application | use,Lift-Motor - power_source | power_supply | power_type | input_power,,,application | motor type | product type | use,input power | power source | power supply | power type
lifting-column-actuator,0,0,4,6,2,1,0.0%,0.0%,elevator - application | use |||| actuator - application | use |||| actuator - product_category | category,Lifting-Column-Actuator - type | product_type | device_type | model_number | model_name | model,,,application | category | product category | use,device type | model | model name | model number | product type | type
linear 1 festo actuators,0,0,4,11,1,3,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,FESTO - brand | company | manufacturer | make |||| 1 - number_of_poles | no_of_poles | poles |||| Linear - type | motor_type | product_type | device_type,,,application | category | product category | use,brand | company | device type | make | manufacturer | motor type | no of poles | number of poles | poles | product type | type
linear actuator control board,0,0,4,8,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Linear Actuator - brand | company | manufacturer | make |||| Control Board - type | motor_type | product_type | device_type,,,application | category | product category | use,brand | company | device type | make | manufacturer | motor type | product type | type
linear actuator purlin,0,0,4,8,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Linear Actuator - type | motor_type | product_type | device_type |||| Purlin - mounting_type | mounting | mounting_style | mounting_method,,,application | category | product category | use,device type | motor type | mounting | mounting method | mounting style | mounting type | product type | type
linear-actuators,0,0,4,4,1,1,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,Linear Actuators - type | motor_type | product_type | device_type,,,application | category | product category | use,device type | motor type | product type | type
ll braider soft starer,0,0,4,10,2,3,0.0%,0.0%,textile - application | use |||| starter - application | use |||| starter - product_category | category,LL - brand | company | manufacturer | make |||| Soft Starter - starter_type | starting_method | starter |||| Braider - insulation_class | insulation_type | winding_insulation,,,application | category | product category | use,brand | company | insulation class | insulation type | make | manufacturer | starter | starter type | starting method | winding insulation
lt mk1 dol motor starter,0,0,4,9,2,3,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,DOL - starter_type | starting_method | starter |||| MK1 - insulation_class | insulation_type | winding_insulation |||| LT - ambient_temperature | operating_temperature | temperature_range,,,application | motor type | product type | use,ambient temperature | insulation class | insulation type | operating temperature | starter | starter type | starting method | temperature range | winding insulation
lubi three phase induction motors,3,2,7,7,3,2,42.9%,66.7%,lubi - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| three phase - phase | supply_phase,Lubi - brand | company | manufacturer | make |||| Three Phase - number_of_poles | no_of_poles | poles,brand | company | manufacturer,lubi | three phase,motor type | phase | product type | supply phase,make | no of poles | number of poles | poles
m9mz90g4yga panasonic gear motor /90watt/ three phase,5,2,9,16,4,4,55.6%,50.0%,panasonic - brand | manufacturer | company |||| gear motor - motor_type | product_type |||| 90 w - power | wattage |||| three phase - phase | supply_phase,Three Phase - power_source | power_supply | power_type | input_power |||| Panasonic - brand | company | manufacturer | make |||| M9MZ90G4YGA - model_number | model_name | model | model_no |||| 90watt/ - power | wattage | motor_power | power_rating,brand | company | manufacturer | power | wattage,panasonic | three phase,motor type | phase | product type | supply phase,input power | make | model | model name | model no | model number | motor power | power rating | power source | power supply | power type
macwel brand motor,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Macwel - brand | company | manufacturer | make,,,motor type | product type,brand | company | make | manufacturer
macwell brand motor,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Macwell - brand | company | manufacturer | make,,,motor type | product type,brand | company | make | manufacturer
makita mt240 cb203a cut off carbon brush,3,0,7,8,3,2,42.9%,0.0%,mak - brand | manufacturer | company |||| automotive - application | use |||| brush - product_category | category,Makita - brand | company | manufacturer | make |||| MT240 CB203A - model_number | model_name | model | model_no,brand | company | manufacturer,,application | category | product category | use,make | model | model name | model no | model number
mgm brake motors,2,0,2,8,1,2,100.0%,0.0%,brake motor - motor_type | product_type,MGM - brand | company | manufacturer | make |||| Brake Motors - type | motor_type | product_type | device_type,motor type | product type,,,brand | company | device type | make | manufacturer | type
mig pmdc motor 24v 42v,4,0,4,8,3,2,100.0%,0.0%,dc motor - motor_type | product_type |||| 24v - voltage | supply_voltage |||| 42v - voltage | supply_voltage,24V 42V - voltage | operating_voltage | supply_voltage | rated_voltage |||| PMDC - type | motor_type | product_type | device_type,motor type | product type | supply voltage | voltage,,,device type | operating voltage | rated voltage | type
mil 37 38 diaphragm actuators,0,0,4,4,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,MIL 37 38 - model_number | model_name | model | model_no |||| 37 38 - model_name | model | model_no,,,application | category | product category | use,model | model name | model no | model number
mini motors,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Mini - size | dimension | frame_size | enclosure,,,motor type | product type,dimension | enclosure | frame size | size
mixer-grinder-motor,0,0,4,4,2,1,0.0%,0.0%,motor - motor_type | product_type |||| mixer - application | use,mixer-grinder-motor - model_number | model_name | model | model_no,,,application | motor type | product type | use,model | model name | model no | model number
motor for toto,0,0,2,4,1,1,0.0%,0.0%,motor - motor_type | product_type,Toto - brand | company | manufacturer | make,,,motor type | product type,brand | company | make | manufacturer
motor panvel,0,1,2,8,1,2,0.0%,100.0%,motor - motor_type | product_type,PANVEL - model_number | model_name | model | model_no |||| Motor - brand | company | manufacturer | make,,motor,motor type | product type,brand | company | make | manufacturer | model | model name | model no | model number
motor protection cover,1,0,2,6,1,1,50.0%,0.0%,motor - motor_type | product_type,Motor Protection Cover - type | product_type | device_type | model_number |||| Motor Protection Cover - model_name |||| Motor Protection Cover - model,product type,,motor type,device type | model | model name | model number | type
motor starter controller,1,0,4,4,2,1,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Motor Starter Controller - type | product_type | device_type | starter_type,product type,,application | motor type | use,device type | starter type | type
motor starter spark,2,0,4,7,2,2,50.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,Motor Starter - type | motor_type | product_type | device_type |||| Spark - starter_type | starting_method | starter,motor type | product type,,application | use,device type | starter | starter type | starting method | type
motor-armature,2,0,2,4,1,1,100.0%,0.0%,motor - motor_type | product_type,Motor-Armature - type | motor_type | product_type | device_type,motor type | product type,,,device type | type
motorized pulley drum motor,0,0,2,9,1,3,0.0%,0.0%,motor - motor_type | product_type,Motorized - power_source | power_supply | power_type |||| Semi-Automatic - automation_grade | operation_mode | working_mode |||| Drum - number_of_poles | no_of_poles | poles,,,motor type | product type,automation grade | no of poles | number of poles | operation mode | poles | power source | power supply | power type | working mode
my cool star,0,0,0,4,0,1,N/A,N/A,,My Cool Star - brand | company | manufacturer | make,,,,brand | company | make | manufacturer
nema 17 0.9 degree,0,0,2,6,1,2,0.0%,0.0%,nema - product_category | category,0.9 Degree - number_of_poles | no_of_poles | poles |||| NEMA 17 - ambient_temperature | operating_temperature | temperature_range,,,category | product category,ambient temperature | no of poles | number of poles | operating temperature | poles | temperature range
nema 17 0.9 degree 22mm lenth,0,0,2,13,1,4,0.0%,0.0%,nema - product_category | category,22mm - diameter | shaft_diameter | inner_diameter |||| NEMA 17 - model_number | model_name | model | model_no |||| 0.9 Degree - accuracy | precision | repeatability |||| Lenth - length | dimension | size,,,category | product category,accuracy | diameter | dimension | inner diameter | length | model | model name | model no | model number | precision | repeatability | shaft diameter | size
ng80,0,0,0,4,0,1,N/A,N/A,,NG80 - model_number | model_name | model | model_no,,,,model | model name | model no | model number
noortepar manufacturing plant,3,1,3,8,1,2,100.0%,100.0%,noortepar - brand | manufacturer | company,Noortepar - brand | company | manufacturer | make |||| Manufacturing Plant - usage_application | application | usage | suitable_for,brand | company | manufacturer,noortepar,,application | make | suitable for | usage | usage application
nord gearbox spares,3,1,5,8,2,2,60.0%,50.0%,nord - brand | manufacturer | company |||| gear box - product_category | category,Nord - brand | company | manufacturer | make |||| Gearbox Spares - usage_application | application | usage | suitable_for,brand | company | manufacturer,nord,category | product category,application | make | suitable for | usage | usage application
oil-filled 3 hp 25 single phase motor starter,4,2,9,16,4,4,44.4%,50.0%,motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| starter - application | use,3 HP - power | wattage | motor_power | power_rating |||| Single Phase - phase | phase_type | number_of_phase | input_phase |||| 25 - speed | rpm | motor_speed | rated_speed |||| Oil-Filled - type | motor_type | product_type | device_type,motor type | phase | power | product type,3 hp | single phase,application | horsepower | hp | supply phase | use,device type | input phase | motor power | motor speed | number of phase | phase type | power rating | rated speed | rpm | speed | type | wattage
ola motor,0,0,4,4,2,1,0.0%,0.0%,motor - motor_type | product_type |||| automotive - application | use,OLA - brand | company | manufacturer | make,,,application | motor type | product type | use,brand | company | make | manufacturer
panasonic gar box,3,1,3,8,1,2,100.0%,100.0%,panasonic - brand | manufacturer | company,Panasonic - brand | company | manufacturer | make |||| Gar Box - type | product_type | device_type | product_category,brand | company | manufacturer,panasonic,,device type | make | product category | product type | type
panasonic gear box MY9G30B,3,1,5,8,2,2,60.0%,50.0%,panasonic - brand | manufacturer | company |||| gear box - product_category | category,Panasonic - brand | company | manufacturer | make |||| MY9G30B - model_number | model_name | model | model_no,brand | company | manufacturer,panasonic,category | product category,make | model | model name | model no | model number
panasonic-ac-servo-motor,5,1,7,8,3,2,71.4%,33.3%,panasonic - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| ac - current_type | supply_type,Panasonic - brand | type | company | motor_type | manufacturer | product_type | make | device_type,brand | company | manufacturer | motor type | product type,panasonic,current type | supply type,device type | make | type
